,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2021 Odometer Reading,6/30/2022 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,,,
FAC MGMT,2C4RC1H78JR172659,918,78 561S,,2018,Chrysler,Pacifica Hybrid,"2,976","5,340","2,364",, ,,,,,,,,,
FAC MGMT,1FTMF1E58JKC65751,762,74 168S,,2018,Ford,F150 P/U,"10,237","12,209","1,972",, ,,,,,,,,,
FAC MGMT,3ALACWFC6JDJX4023,766,74 174S,,2018,Freightliner,M2 106 Truck w/Heil PT 1000 13 cubic yard compactor,"32,459","42,955","10,496",, ,,,,,,,,,
FAC MGMT,1FTBF2B6XJEB31462,769,74 176S,,2018,Ford,F250 4x4 P/U,"11,648","15,129","3,481",, ,,,,,,,,,
FAC MGMT,1N6AD0CW0JN727925,778,74 180S,,2018,Nissan,Frontier P/U 4x4,"13,413","16,876","3,463",, ,,,,,,,,,
FAC MGMT,1FD7W2A63JEB31922,781,74 183S,,2018,Ford,F250 P/U crew cab w/lift gate,"9,854","13,370","3,516",, ,,,,,,,,,
FAC MGMT,1FDBF2A66JEB41614,783,74 186S,,2018,Ford,F250 w/reading utility body,"9,800","13,057","3,257",, ,,,,,,,,,
FAC MGMT,1GB3CYCGXJZ250407,784,74 187S,,2018,Chevrolet,Silverado 3500 P/U,"4,437","6,114","1,677",, ,,,,,,,,,
FAC MGMT,1FTBF2B69JEB84315,786,74 189S,,2018,Ford,F250 4x4 P/U w/snow plow,"7,190","8,973","1,783",Mileage Correction for FY21, ,,,,,,,,,
FAC MGMT,1FM5K8B8XJGB04887,787,74 193S,,2018,Ford,Explorer,"7,051","8,219","1,168",, ,,,,,,,,,
FAC MGMT,1FDNF6AY8JDF02255,788,74 195S,,2018,Ford,F650 w/switch & go body,"6,166","7,950","1,784",, ,,,,,,,,,
FAC MGMT,1FDUF5GY4JEB23387,799,75 606S,,2018,Ford,F550 w/service crane,"5,028","6,887","1,859",, ,,,,,,,,,
FAC MGMT,3N63M0ZN2HK719381,817,75 611S,,2018,Chevrolet,City Express w/glass in doors,"13,062","17,210","4,148",, ,,,,,,,,,
FAC MGMT,1FTBF2A66JEC65323,818,75 618S,,2018,Ford,F250 4x2 w/lift gate,"6,123","7,997","1,874",, ,,,,,,,,,
FAC MGMT,NM0LS7E79J1368983,819,75 614S,,2018,Ford,Transit Connect XL LWB Van,"4,080","5,373","1,293",, ,,,,,,,,,
FAC MGMT,1FTYR1ZM7HKB10063,830,75 626S,,2018,Ford,Transit 250      cargo van,"18,152","19,079",927,, ,,,,,,,,,
FAC MGMT,NM0GS9F76J1360853,833,75 642S,,2018,Ford,Transit Connect XLT (LWB) Van,"5,463","7,043","1,580",, ,,,,,,,,,
FAC MGMT,1FTYE1ZM0JKA02157,834,75 645S,,2018,Ford,Transit 150 low roof cargo van,"18,216","19,775","1,559",, ,,,,,,,,,
FAC MGMT,1GD07RFGXJ1262569,835,75 643S,,2018,GMC,Savana 2500 Cutaway w/12' Box & Lift Gate,"3,639","5,392","1,753",, ,,,,,,,,,
FAC MGMT,1N6AD0EV6JN759069,863,75 647S,,2018,Nissan,Frontier V6        Crew Cab 4x4,"4,825","5,667",842,, ,,,,,,,,,
FAC MGMT,1N4AL3AP7JC299744,870,76 508S,,2018,Nissan,Altima,"5,594","7,511","1,917",, ,,,,,,,,,
FAC MGMT,1FTYR2ZM1JKA84295,872,76 523S,,2018,Ford,Transit250 Low Roof Cargo Van,"36,016","45,958","9,942",, ,,,,,,,,,
FAC MGMT,1FTYE9ZM1JKA43332,873,76 522S,,2018,Ford,Transit150 Low Roof Cargo Van,"23,849","26,411","2,562",, ,,,,,,,,,
FAC MGMT,1FTYR1ZM7JKA65440,907,76 546S,,2018,Ford,Transit250 Low Roof Cargo Van,"15,726","18,051","2,325",, ,,,,,,,,,
FAC MGMT,NM0LS7E2XK1384468,910,78 558S,,2018,Ford,Transit Connect,"1,672","2,251",579,, ,,,,,,,,,
FAC MGMT,1FTYR1YM7JKA99167,912,8 559S,,2018,Ford,Transit250 ,"9,989","11,823","1,834",, ,,,,,,,,,
FAC MGMT,1FTYR1ZM1JKA89815,913,78 560S,,2018,Ford,Transit250,"15,019","18,310","3,291",, ,,,,,,,,,
FAC MGMT,1FTYR1ZM8JKB37990,915,78 565S,,2018,Ford,Transit250,"28,564","37,979","9,415",, ,,,,,,,,,
FAC MGMT,1FTYR1YM4JKB16569,916,78 562S,,2018,Ford,Transit250,"19,619","25,770","6,151",, ,,,,,,,,,
FAC MGMT,1N6BD0CT4JN766303,930,78 575S,,2018,Nissan,Frontier S,"5,170","7,537","2,367",, ,,,,,,,,,
FAC MGMT,1FDBF2A66KEC61172,825,76 513S,,2019,Ford,F250 w/XLHybrid System,"11,899","17,838","5,939",, ,,,,,,,,,
FAC MGMT,1FDBF2A66KEC61171,826,76 512S,,2019,Ford,F250 w/XLHybrid System,"13,298","18,049","4,751",, ,,,,,,,,,
FAC MGMT,1FDWE3F6XKDC08564,827,76 520S,,2019,Ford,F350 Box Van w/rail liftgate & XLHybrid System,"5,677","8,631","2,954",, ,,,,,,,,,
FAC MGMT,1FDWE3F61KDC08565,828,76 519S,,2019,Ford,F350 Box Van w/rail liftgate & XLHybrid System,"8,419","13,145","4,726",, ,,,,,,,,,
FAC MGMT,1E9EB25S7JP363197,836,5828L,,2019,E-Ride Industries,EXV4 Patriot,"1,763","2,150",387,, ,,,,,,,,,
FAC MGMT,1N4AZ1CP3KC308117,876,76 531S,,2019,Nissan,Leaf SV,"1,864","3,150","1,286",, ,,,,,,,,,
FAC MGMT,1N4AZ1CPXKC308633,877,76 532S,,2019,Nissan,Leaf S,"1,715","2,559",844,, ,,,,,,,,,
FAC MGMT,1E9EB25S7KP363234,894,5834L,,2019,E-Ride,Patriot MXV4,"1,661","2,194",533,, ,,,,,,,,,
FAC MGMT,1N4BZ1CP4KC313072,966,80 711S,,2019,Nissan,Leaf SV Plus,"3,554","4,015",461,, ,,,,,,,,,
FAC MGMT,1N4BZ1CP7KC320842,969,80 710S,,2019,Nissan,Leaf SV Plus,"10,184","10,890",706,, ,,,,,,,,,
FAC MGMT,1FVHG3FE3KHKS7792,790,76 516S,,2019,Freightliner,114SD Vactor Pumper Truck,"2,677","3,493",816,, ,,,,,,,,,
FAC MGMT,1FTBF2A62KEC12569,816,75 628S,,2019,Ford,F250 4x2 w/lift gate,"5,672","7,310","1,638",, ,,,,,,,,,
FAC MGMT,1FDUF5HY6KDA03029,820,76 517S,,2019,Ford,F550 w/Terex LT40 Bucket,"15,819","21,537","5,718",, ,,,,,,,,,
FAC MGMT,1FT7W2A65KEC43482,821,76 504S,,2019,Ford,F250 4x2 Crew Cab,"7,080","10,055","2,975",, ,,,,,,,,,
FAC MGMT,1FT7W2A67KEC43483,822,76 505S,,2019,Ford,F250 4x2 Crew Cab,"8,618","12,135","3,517",, ,,,,,,,,,
FAC MGMT,1FTBF2B62KED14369,866,76 509S,,2019,Ford,F250 4x4 sing cab long bed,"11,231","16,401","5,170",, ,,,,,,,,,
FAC MGMT,1FDUF4HY0KDA07877,868,76 514S,,2019,Ford,F550 Dump Truck 4x4,"6,720","9,597","2,877",, ,,,,,,,,,
FAC MGMT,1FDBF2B68KEF81771,881,76 547S,,2019,Ford,F250 4x4 w/lift gate,"5,104","9,539","4,435",, ,,,,,,,,,
FAC MGMT,3N6CM0KN9KK705365,890,76 535S,,2019,Nissan,NV200 S cargo van,"2,311","3,491","1,180",, ,,,,,,,,,
FAC MGMT,3N6CM0KN3KK699532,891,76 536S,,2019,Nissan,NV200 S cargo van,"4,043","6,828","2,785",, ,,,,,,,,,
FAC MGMT,1GTH5BEA3K1138727,892,76 537S,,2019,GMC,Canyon 2WD      Ext Cab,"6,290","8,897","2,607",, ,,,,,,,,,
FAC MGMT,1GTH5BEA2K1194738,893,76 538S,,2019,GMC,Canyon 2WD      Ext Cab,"3,299","5,621","2,322",, ,,,,,,,,,
FAC MGMT,54DCDW1B2KS807501,895,78 555S,,2019,Chevrolet,"4500 LCF 16"" Box Van w/liftgate","11,808","16,745","4,937",, ,,,,,,,,,
FAC MGMT,NM0GS9E24K1417090,896,76 549S,,2019,Ford,Transit Connect,"4,124","6,899","2,775",, ,,,,,,,,,
FAC MGMT,1GTH5BEA5K1359553,911,78 557S,,2019,GMC,Canyone Base,"4,979","7,028","2,049",, ,,,,,,,,,
FAC MGMT,NM0LS7E23K1384473,926,78 569S,,2019,Ford,Transit Connect,"3,394","6,083","2,689",, ,,,,,,,,,
FAC MGMT,3N6CM0KN2KK712299,927,78 571S,,2019,Nissan,NV200,"1,206","2,003",797,, ,,,,,,,,,
FAC MGMT,3N6CM0KN2KK708947,928,78 570S,,2019,Nissan,NV200,"2,725","4,326","1,601",, ,,,,,,,,,
FAC MGMT,1N6BD0CT8KN797216,931,78 572S,,2019,Nissan,Frontier S,"4,068","6,299","2,231",, ,,,,,,,,,
FAC MGMT,1FTYR1ZM9KKB34856,935,78 581S,,2019,Ford,Transit250,"7,828","12,290","4,462",, ,,,,,,,,,
FAC MGMT,1GCWGAF1K1275809,976,80 719S,,2019,Chevrolet,Express 2500,"13,107","17,693","4,586",, ,,,,,,,,,
FAC MGMT,2C4RC1H79LR230331,981,80 729S,,2020,Chrysler,Pacifica Hybrid,"11,788","13,583","1,795",, ,,,,,,,,,
FAC MGMT,1GCHSBEA0L1174787,897,78 566S,,2020,Chevrolet,Colorado 2WD      Ext. Cab,"4,676","8,123","3,447",, ,,,,,,,,,
FAC MGMT,1FT7W2B66LED69480,921,78 598S,,2020,Ford,F250 4x4 crew cab w/stake body,"2,842","5,781","2,939",, ,,,,,,,,,
FAC MGMT,1FDRF3C69LED69479,922,78 595S,,2020,Ford,F350 w/Knapheide Svc Body & Liftmore Svc Crane,"3,071","5,773","2,702",, ,,,,,,,,,
FAC MGMT,1FDRF3A66LED09646,923,78 579S,,2020,Ford,F350 reg. cab w/utility body & lift gate,"5,490","9,774","4,284",, ,,,,,,,,,
FAC MGMT,1FDUFGN5LDAO5850,924,78 593S,,2020,Ford,F550 Reg Cab Utility Body w/Svc Crane,"2,142","4,202","2,060",, ,,,,,,,,,
FAC MGMT,1FTMF1E51LKE10695,925,78 580S,,2020,Ford,F150 P/U,"4,429","7,481","3,052",, ,,,,,,,,,
FAC MGMT,1FDRF3G60LEE27893,933,80 706S,,2020,Ford,F350 4x2 w/Dejana custom stake body,"1,735","4,902","3,167",, ,,,,,,,,,
FAC MGMT,3N6CMOKNXLK708681,939,80 705S,,2020,Nissan,NV200 S cargo van,"1,484","9,954","8,470",, ,,,,,,,,,
FAC MGMT,3N6CMOKN1LK708729,945,80 707S,,2020,Nissan,NV200 Cargo Van,598,"1,893","1,295",, ,,,,,,,,,
FAC MGMT,NM0LS7E26L1464447,985,80 739S,,2020,Ford,Transit Connect XL,"15,013","16,477","1,464",License Plate Updated, ,,,,,,,,,
FAC MGMT,1FTEX1C56MKD59832,942,80 712S,,2021,Ford,F150 Ext Cab,392,"3,290","2,898",, ,,,,,,,,,
FAC MGMT,1FDUF5GN7MDA08606,946,80 723S,,2021,Ford,F550 Dump Truck 4x2,358,"1,619","1,261",, ,,,,,,,,,
FAC MGMT,1GCGSBEA4M1245602,949,80 715S,,2021,Chevrolet,Colorado P/U,466,"1,935","1,469",, ,,,,,,,,,
FAC MGMT,1N6ED0CE8MN703238,950,80 716S,,2021,Nissan,Frontier P/U,721,"3,587","2,866",, ,,,,,,,,,
FAC MGMT,1FTBR1Z81MKA89407,970,80 736S,,2021,Ford,Transit250,81,"1,574","1,493",, ,,,,,,,,,
FAC MGMT,1FTEX1EBXMKE46460,971,80 728S,,2021,Ford,F150 Ext Cab,84,"2,355","2,271",, ,,,,,,,,,
FAC MGMT,1FDUF5GNXMDA04792,975,80 717S,,2021,Ford,F550 4x2 Reg. Cab Utility Body Truck,785,"4,083","3,298",, ,,,,,,,,,
FAC MGMT,3N6CM0KN3MK691708,977,80 718S,,2021,Nissan,NV 200,699,"3,664","2,965",, ,,,,,,,,,
FAC MGMT,1N6ED0CF2MN705527,978,80 720S,,2021,Nissan,Frontier Ext Cab 4x4 P/U,286,"3,222","2,936",, ,,,,,,,,,
FAC MGMT,1N6EDOCE9MN721845,982,80 732S,,2021,Nissan,Frontier SV,274,"1,776","1,502",, ,,,,,,,,,
FAC MGMT,1GTW7AFP9M1288861,986,80 740S,,2021,GMC,Savana 2500,7,790,783,, ,,,,,,,,,
FAC MGMT,1FMCU9BZ2NUA83542,988,82 393S,,2022,Ford,Escape SE Hybrid,11,515,504,License Plate Updated, ,,,,,,,,,
FAC MGMT,1N6ED1EJ0NN622219,947,80 743S,,2022,Nissan,Frontier SV P/U Crew Cab,5,"2,011","2,006",, ,,,,,,,,,
FAC MGMT,1FDBF2A66NEC15927,953,80 735S,,2022,Ford,F250 Stake Body & Lift Gate,132,"1,174","1,042",, ,,,,,,,,,
FAC MGMT,1FT7W2A63NEC15930,967,80 734S,,2022,Ford,F250 Utility Body Truck,132,"4,572","4,440",, ,,,,,,,,,
FAC MGMT,1FDBF2A61NEC27385,972,80 731S,,2022,Ford,F250,130,"1,622","1,492",, ,,,,,,,,,
FAC MGMT,1FDBF2A63NEC27386,973,80 730S,,2022,Ford,F250,130,"1,987","1,857",, ,,,,,,,,,
FAC MGMT,1FDBF2A65NEC27387,974,80 733S,,2022,Ford,F250 Utility Body Truck,273,"2,649","2,376",, ,,,,,,,,,
FAC MGMT,1FT7W2B60NED16793,979,80 747S,,2022,Ford,F250 4x4 crew cab ,83,"1,437","1,354",, ,,,,,,,,,
FAC MGMT,1N6ED1EJ0NN631047,998,80 742S,,2022,Nissan,Frontier SV P/U Crew Cab,12,"1,228","1,216",, ,,,,,,,,,
FAC MGMT,1GTP9BEK9NZ168054,1004,82 389S,,2022,GMC,Sierra1500 SLE,153,689,536,License Plate Updated, ,,,,,,,,,
FAC MGMT,NM0LS7E76F1208020,654,69 497S,,Ford,2015,Transit Connect XL Van,"17,815","21,068","3,253", , ,,,,,,,,,
,,,,,,,Total,,,"736,287",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
