State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2022 Odometer Reading,6/30/2023 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1HSLRTVN8EHA57283,123,28 632S,,1984,International,S1900 Truck Tractor,"214,397","214,496",99, , ,,,,,,,
FAC MGMT,1GCHC23U97F198170,426,54 649S,,2007,Chevrolet,Silverado P/U,"50,842","52,450","1,608", , ,,,,,,,
FAC MGMT,1GCHC23U27F199645,427,50 256S,,2007,Chevrolet,Silverado P/U,"58,641","60,853","2,212", , ,,,,,,,
FAC MGMT,1GDP7F13X7F419319,433,50 281S,,2007,GMC,"T7500 Cab, Chassis & Mulch Blower","15,812","16,420",608, , ,,,,,,,
FAC MGMT,1FTNF20588ED38336,442,56 185S,,2008,Ford,F250 P/U,"76,270","78,776","2,506", , ,,,,,,,
FAC MGMT,1FDXF47R88ED57042,445,56 200S,,2008,Ford,F450 Dump Truck,"33,444","35,491","2,047", , ,,,,,,,
FAC MGMT,1GNDV23W080207000,450,57 955S,,2008,Chevrolet,Uplander LE       pass van,"29,295","29,942",647,, ,,,,,,,
FAC MGMT,1FTLR1EE3BPA39219,487,58 800S,,2011,Ford,Ranger P/U,"20,793","21,700",907, , ,,,,,,,
FAC MGMT,1FDOW4GY4BEC41756,492,60 055S,,2011,Ford,F450,"30,046","32,956","2,910", , ,,,,,,,
FAC MGMT,1FD0X5HT1BEC96106,496,60 057S,,2011,Ford,F550 4WD SD SC,"23,812","25,017","1,205", , ,,,,,,,
FAC MGMT,1GTR1TEX7BZ185688,497,60 054S,,2011,GMC,Sierra  Ext Cab P/U,"30,270","32,850","2,580", , ,,,,,,,
FAC MGMT,1GD01ZCG2BF221976,500,60 060S,,2011,GMC,Sierra P/U,"50,644","52,534","1,890", , ,,,,,,,
FAC MGMT,1GD312CG9BF248144,503,60 059S,,2011,GMC,Sierra,"22,528","24,038","1,510", , ,,,,,,,
FAC MGMT,NM0LS6BNXBT068095,511,60 065S,,2011,Ford,Transit Connect Wagon,"36,988","39,847","2,859", , ,,,,,,,
FAC MGMT,1GC0KVCG8BF165388,512,60 070S,,2011,Chevrolet,Silverado 2500 P/U,"80,751","83,123","2,372", , ,,,,,,,
FAC MGMT, JALC4W161C7001580,515,60 068S,,2012,Isuzu,NPR Box Van,"43,533","46,193","2,660", , ,,,,,,,
FAC MGMT,NM0KS9CN6BT059213,518,60 071S,,2011,Ford,Transit Connect Wagon,"14,947","15,507",560, , ,,,,,,,
FAC MGMT,1GB3CZCG5BF260156,521,62 148S,,2011,Chevrolet,Silverado 3500 P/U,"34,143","35,904","1,761", , ,,,,,,,
FAC MGMT,1G1PC5SH6C7152696,522,60 073S,,2012,Chevrolet,Cruze,"27,269","27,834",565, , ,,,,,,,
FAC MGMT,1GD01ZCGXBF248083,524,60 075S,,2011,GMC,Sierra 2500,"51,189","53,602","2,413", , ,,,,,,,
FAC MGMT,1GD372BG1B1158936,525,62 150S,,2011,GMC,Savana 3500 Box Van,"55,999","59,307","3,308", , ,,,,,,,
FAC MGMT,1GCGTBF93C8114751,526,62 306S,,2012,Chevrolet,Colorado P/U,"17,678","19,555","1,877", , ,,,,,,,
FAC MGMT,1GD01ZCG3BF264495,527,62 311S,,2011,GMC,Sierra P/U,"34,531","37,066","2,535", , ,,,,,,,
FAC MGMT,NM0LS6BN6CT081833,531,62 335S,,2012,Ford,Transit Connect XLT Van,"40,843","47,255","6,412", , ,,,,,,,
FAC MGMT,1GD01ZCG6CF133515,532,62 656S,,2012,GMC,Sierra C2500 HD P/U Utility Body,"34,196","36,987","2,791", , ,,,,,,,
FAC MGMT,NM0LS6BN6CT082206,536,62 673S,,2012,Ford,Transit Connect XLT Van,"33,453","33,597",144, , ,,,,,,,
FAC MGMT,1GCCSBF92C8115309,538,62 672S,,2012,Chevrolet,Colorado P/U,"28,712","31,285","2,573", , ,,,,,,,
FAC MGMT,1GTW7GCA9C1149699,541,62 680S,,2012,GMC,Savana Van,"30,777","31,777","1,000", , ,,,,,,,
FAC MGMT,NM0LS6BN8CT089965,542,62 681S,,2012,Ford,Transit Connect XLT Van,"16,510","17,290",780, , ,,,,,,,
FAC MGMT,3GCPKSE73CG123205,544,63 656S,,2012,Chevrolet,Silverado 1500 LT Crew Cab 4WD,"16,882","20,309","3,427", , ,,,,,,,
FAC MGMT,1GB0CVCG0CF184181,545,63 684S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"27,604","31,414","3,810", , ,,,,,,,
FAC MGMT,1GB0CVCG3CF150414,548,63 683S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"35,388","38,582","3,194", , ,,,,,,,
FAC MGMT,1GB0CVCG6CF134269,549,63 689S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"25,660","28,012","2,352", , ,,,,,,,
FAC MGMT,1GD01ZCG0DF152854,565,64 332S,,2013,GMC,Sierra 2500 HD,"38,433","40,586","2,153", , ,,,,,,,
FAC MGMT,NM0LS6BN8DT140639,567,64 336S,,2013,Ford,Transit Connect XLT,"43,815","47,305","3,490", , ,,,,,,,
FAC MGMT,1GB0CVCG1DF184790,569,65 775S,,2013,Chevrolet,Silverado 2500HD Utility Body,"31,263","34,431","3,168", , ,,,,,,,
FAC MGMT,1GCWGFBA5E1115435,580,65 846S,,2014,Chevrolet,Express Cargo Van,"30,764","32,229","1,465", , ,,,,,,,
FAC MGMT,1GD322CGXEF150645,581,65 847S,,2014,GMC,Sierra 3500 w/dump,"39,117","43,039","3,922", , ,,,,,,,
