,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2024 Odometer Reading,6/30/2025 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,NM0LS7E2XK1384468,910,78 558S,,2018,Ford,Transit Connect,"3,446","3,818",371,, ,,,,,,,
FAC MGMT,1GTH5BEA5K1359553,911,78 557S,,2019,GMC,Canyone Base,"11,212","12,300","1,088",, ,,,,,,,
FAC MGMT,1FTYR1YM7JKA99167,912,78 559S,,2018,Ford,Transit250 ,"15,933","18,325","2,392",, ,,,,,,,
FAC MGMT,1FTYR1ZM1JKA89815,913,78 560S,,2018,Ford,Transit250,"24,621","26,428","1,806",, ,,,,,,,
FAC MGMT,1FTYR1ZM8JKB37990,915,78 565S,,2018,Ford,Transit250,"60,960","74,828","13,868",, ,,,,,,,
FAC MGMT,1FTYR1YM4JKB16569,916,78 562S,,2018,Ford,Transit250,"46,651","58,715","12,064",, ,,,,,,,
FAC MGMT,1N6BD0CT9HN760555,917,78 556S,,2017,Nissan,Frontier 4x2,"30,120","62,287","32,167",, ,,,,,,,
FAC MGMT,2C4RC1H78JR172659,918,78 561S,,2018,Chrysler,Pacifica Hybrid,"17,734","26,080","8,346",, ,,,,,,,
FAC MGMT,1FT7W2B66LED69480,921,78 598S,,2020,Ford,F250 4x4 crew cab w/stake body,"10,876","13,526","2,650",, ,,,,,,,
FAC MGMT,1FDRF3C69LED69479,922,78 595S,,2020,Ford,F350 w/Knapheide Svc Body & Liftmore Svc Crane,"13,051","16,317","3,266",, ,,,,,,,
FAC MGMT,1FDRF3A66LED09646,923,78 579S,,2020,Ford,F350 reg. cab w/utility body & lift gate,"17,870","21,783","3,914",, ,,,,,,,
FAC MGMT,1FDUF5GN5LDA05850,924,78 593S,,2020,Ford,F550 Reg Cab Utility Body w/Svc Crane,"9,925","12,073","2,148",, ,,,,,,,
FAC MGMT,1FTMF1E51LKE10695,925,78 580S,,2020,Ford,F150 P/U,"12,282","14,656","2,374",, ,,,,,,,
FAC MGMT,NM0LS7E23K1384473,926,78 569S,,2019,Ford,Transit Connect,"11,264","13,783","2,519",, ,,,,,,,
FAC MGMT,3N6CM0KN2KK712299,927,78 571S,,2019,Nissan,NV200,"3,648","4,387",739,, ,,,,,,,
FAC MGMT,3N6CM0KN2KK708947,928,78 570S,,2019,Nissan,NV200,"8,060","11,127","3,068",, ,,,,,,,
FAC MGMT,1N6BD0CT4JN766303,930,78 575S,,2018,Nissan,Frontier S,"11,750","15,852","4,102",, ,,,,,,,
FAC MGMT,1N6BD0CT8KN797216,931,78 572S,,2019,Nissan,Frontier S,"12,881","14,256","1,375",, ,,,,,,,
FAC MGMT,1FDRF3G60LEE27893,933,80 706S,,2020,Ford,F350 4x2 w/Dejana custom stake body,"10,466","12,717","2,252",, ,,,,,,,
FAC MGMT,1FTYR1ZM9KKB34856,935,78 581S,,2019,Ford,Transit250,"25,112","33,968","8,856",, ,,,,,,,
FAC MGMT,1FTEX1C56MKD59832,942,80 712S,,2021,Ford,F150 Ext Cab,"13,583","15,807","2,224",, ,,,,,,,
FAC MGMT,3N6CM0KN1LK708729,945,80 707S,,2020,Nissan,NV200 Cargo Van,"5,050","6,245","1,195",, ,,,,,,,
FAC MGMT,1FDUF5GN7MDA08606,946,80 723S,,2021,Ford,F550 Dump Truck 4x2,"3,906","4,856",951,, ,,,,,,,
FAC MGMT,1N6ED1EJ2NN622219,947,80 743S,,2022,Nissan,Frontier SV P/U Crew Cab,"6,524","8,217","1,693",, ,,,,,,,
FAC MGMT,1GCGSBEA4M1245602,949,80 715S,,2021,Chevrolet,Colorado P/U,"4,558","5,750","1,192",, ,,,,,,,
FAC MGMT,1N6ED0CE8MN703238,950,80 716S,,2021,Nissan,Frontier P/U,"9,007","11,787","2,780",, ,,,,,,,
FAC MGMT,1FDBF2A66NEC15927,953,80 735S,,2022,Ford,F250 Stake Body & Lift Gate,"5,742","8,048","2,306",, ,,,,,,,
FAC MGMT,1FVHCYFE1SHVS0454,954,85 479S,,2025,Freightliner,M2106 Dump Truck,733,"2,123","1,390",, ,,,,,,,
FAC MGMT,NM0LS6S25P1565967,958,84 095S,,2023,Ford,Transit Connect,801,"2,652","1,850",, ,,,,,,,
FAC MGMT,1FDUF4HN1PDA13037,959,84 097S,,2023,Ford,F450,511,944,433,, ,,,,,,,
FAC MGMT,54DC4W1D0SS201289,960,85 478S,,2025,Isuzu,NPR HD,325,"3,663","3,338",, ,,,,,,,
FAC MGMT,1N4BZ1CP4KC313072,966,80 711S,,2019,Nissan,Leaf SV Plus,"5,400","6,251",851,, ,,,,,,,
FAC MGMT,1FT7W2A63NEC15930,967,80 734S,,2022,Ford,F250 Utility Body Truck,"17,137","22,705","5,568",, ,,,,,,,
FAC MGMT,1N4BZ1CP7KC320842,969,80 710S,,2019,Nissan,Leaf SV Plus,"12,124","13,082",958,, ,,,,,,,
FAC MGMT,1FTBR1Z81MKA89407,970,80 736S,,2021,Ford,Transit250,"6,318","8,049","1,731",, ,,,,,,,
FAC MGMT,1FTEX1EBXMKE46460,971,80 728S,,2021,Ford,F150 Ext Cab,"7,149","8,733","1,584",, ,,,,,,,
FAC MGMT,1FDBF2A61NEC27385,972,80 731S,,2022,Ford,F250,"4,764","6,219","1,456",, ,,,,,,,
FAC MGMT,1FDBF2A63NEC27386,973,80 730S,,2022,Ford,F250,"8,752","11,459","2,707",, ,,,,,,,
FAC MGMT,1FDBF2A65NEC27387,974,80 733S,,2022,Ford,F250 Utility Body Truck,"10,412","14,303","3,891",, ,,,,,,,
FAC MGMT,1FDUF5GNXMDA04792,975,80 717S,,2021,Ford,F550 4x2 Reg. Cab Utility Body Truck,"9,988","11,922","1,934",, ,,,,,,,
FAC MGMT, 1GCWGAFG1K1275809,976,80 719S,,2019,Chevrolet,Express 2500,"24,018","31,849","7,831",, ,,,,,,,
FAC MGMT,3N6CM0KN3MK691708,977,80 718S,,2021,Nissan,NV 200,"11,281","15,117","3,836",, ,,,,,,,
FAC MGMT,1N6ED0CF2MN705527,978,80 720S,,2021,Nissan,Frontier Ext Cab 4x4 P/U,"10,957","15,283","4,326",, ,,,,,,,
FAC MGMT,1FT7W2B60NED16793,979,80 747S,,2022,Ford,F250 4x4 crew cab ,"7,627","11,903","4,276",, ,,,,,,,
FAC MGMT,2C4RC1H79LR230331,981,80 729S,,2020,Chrysler,Pacifica Hybrid,"22,157","25,536","3,379",, ,,,,,,,
FAC MGMT,1N6ED0CE9MN721845,982,80 732S,,2021,Nissan,Frontier SV,"5,898","7,440","1,542",, ,,,,,,,
FAC MGMT,1FTRF3BTXNEF61752,983,83 412S,,2022,Ford,F350,"1,294","1,897",602,, ,,,,,,,
FAC MGMT,NM0LS7E26L1464447,985,80 739S,,2020,Ford,Transit Connect XL,"21,656","28,591","6,935",, ,,,,,,,
FAC MGMT,1GTW7AFP9M1288861,986,80 740S,,2021,GMC,Savana 2500,"4,351","7,190","2,839",, ,,,,,,,
FAC MGMT,1FMCU9BZ5NUA84507,987,83 409S,,2022,Ford,Escape Hybrid,"3,534","5,570","2,036",, ,,,,,,,
FAC MGMT,1FMCU9BZ2NUA83542,988,82 393S,,2022,Ford,Escape SE Hybrid,"8,813","12,864","4,051",, ,,,,,,,
FAC MGMT,NM0LS7S21N1540292,989,83 411S,,2022,Ford,Transit,"4,290","6,819","2,529",, ,,,,,,,
FAC MGMT,NM0LS7S2XN1540288,990,83 410S,,2022,Ford,Transit,"2,366","3,518","1,151",, ,,,,,,,
FAC MGMT,NM0LS7S28N1540337,991,83 424S,,2022,Ford,Transit Connect XL,"1,824","3,804","1,980",, ,,,,,,,
FAC MGMT,NM0LS7S27N1540331,992,83 420S,,2022,Ford,Transit Connect XL,"5,630","8,135","2,505",, ,,,,,,,
FAC MGMT,NM0LS7S26N1540286,993,83 423S,,2022,Ford,Transit Connect XL,"3,929","6,605","2,676",, ,,,,,,,
FAC MGMT,NM0LS7S29N1540329,994,83 422S,,2022,Ford,Transit Connect XL,"4,155","6,865","2,710",, ,,,,,,,
FAC MGMT,1N6ED1EJ0NN631047,998,80 742S,,2022,Nissan,Frontier SV P/U Crew Cab,"7,968","10,023","2,055",, ,,,,,,,
FAC MGMT,1FMCU9BZ1NUA98694,1001,83 403S,,2022,Ford,Escape FHEV,"2,826","3,108",282,, ,,,,,,,
FAC MGMT,1GTP9BEK9NZ168054,1004,82 389S,,2022,GMC,Sierra1500 SLE,"4,055","5,904","1,849",, ,,,,,,,
FAC MGMT,1E9PB25S2NP363378,1005,5256L,,2022,e-Ride,EXV4,"1,241","1,379",138,, ,,,,,,,
FAC MGMT,NM0LS7S22N1540348,1006,83 421S,,2022,Ford,Transit Connect XL,"4,375","6,531","2,156",, ,,,,,,,
FAC MGMT,NM0LS7S29N1540962,1007,83 442S,,2022,Ford,Transit Connect,"6,540","10,464","3,924",, ,,,,,,,
FAC MGMT,NM0LS7S27N1540345,1008,83 415S,,2022,Ford,Transit Connect XL,"3,374","5,955","2,581",, ,,,,,,,
FAC MGMT,3FTTW8A31RRB08840,1009,85 480S,,2024,Ford,Maverick Hybrid,100,"1,157","1,057",, ,,,,,,,
FAC MGMT,NM0LS7E24L1468030,1010,83 439S,,2020,Ford,Transit Connect,"16,353","20,046","3,693",, ,,,,,,,
FAC MGMT,NM0LS7S20N1540350,1011,83 419S,,2022,Ford,Transit Connect XL,"2,769","5,221","2,452",, ,,,,,,,
FAC MGMT,NM0LS7S29N1540346,1012,83 427S,,2022,Ford,Transit Connect XL,"3,828","5,631","1,803",, ,,,,,,,
FAC MGMT,NM0LS7S20N1540963,1014,83 443S,,2022,Ford,Transit Connect,"5,375","10,507","5,132",, ,,,,,,,
FAC MGMT,1FMCU9BZXNUA98743,1016,83 426S,,2022,Ford,Escape Hybrid,"3,027","3,591",564,, ,,,,,,,
FAC MGMT,1FMCU9BZ1NUA98954,1017,83 425S,,2022,Ford,Escape Hybrid,"4,563","8,488","3,925",, ,,,,,,,
FAC MGMT,1E9PB25S7NP363358,1021,5257L,,2022,e-Ride,EXV4 Patriot,937,"1,441",504,, ,,,,,,,
FAC MGMT,1GTW7AFP8N1255741,1026,83 437S,,2022,GMC,Savana 2500,"1,796","2,377",581,, ,,,,,,,
FAC MGMT,1FDUF5GT1NED43774,1039,83 434S,,2022,Ford,F550 4x2 Utility Body w/crane,"5,633","9,098","3,465",, ,,,,,,,
FAC MGMT,1HTKJPVM3PH735791,1040,84 099S,,2023,Chevrolet,Silverado 6500 4WD w/mulch blower FINN MBH6,781,"2,584","1,803",, ,,,,,,,
FAC MGMT,1GCHTBEA0N1260620,1043,83 413S,,2022,Chevrolet,Colorado Ext Cab P/U,"5,319","8,223","2,904",, ,,,,,,,
FAC MGMT,1GD39LE74PF136600,1045,83 449S,,2023,GMC,Sierra 2500HD Pro,"3,356","6,327","2,971",, ,,,,,,,
FAC MGMT,1FDBF2B67NEF66313,1046,83 433S,,2022,Ford,F250,"6,063","9,196","3,133",, ,,,,,,,
FAC MGMT,3GCNWAEF3MG367287,1048,83 414S,,2021,Chevrolet,Silverado 1500 P/U,"19,636","21,255","1,619",, ,,,,,,,
FAC MGMT,1HTKHPVK9NH779317,1050,84 057S,,2022,Chevrolet,Sliverado 5500 w/liftgate Utility Body,"3,819","7,160","3,340",, ,,,,,,,
FAC MGMT,1GC5YLE76NF312270,1051,83 416S,,2022,Chevrolet,Silverado 2500 4WD,"2,781","4,617","1,836",, ,,,,,,,
FAC MGMT,1FT7W2AA1PEC90861,1052,84 065S,,2023,Ford,F250,893,"2,188","1,295",, ,,,,,,,
FAC MGMT,1FT7X2AA4PEE16627,1053,84 089S,,2023,Ford,F251,"2,044","6,174","4,130",, ,,,,,,,
FAC MGMT,1FTBF2AA7PEC90860,1054,84 070S,,2023,Ford,F250 2x4 enclosed Utility Body,"2,208","4,985","2,777",, ,,,,,,,
FAC MGMT,1FMCU0MZ0PUA30138,1056,84 069S,,2023,Ford,Escape Hybrid,958,"1,498",539,, ,,,,,,,
FAC MGMT,1FMCU0MZ9PUA48475,1057,84 067S,,2023,Ford,Escape Hybrid,730,"1,371",641,, ,,,,,,,
FAC MGMT,1FTEX1EP1NKF31166,1058,83 436S,,2022,Ford,F150 4x4 SuperCrew,"2,225","6,740","4,514",, ,,,,,,,
FAC MGMT,1FTEX1EB8NKF27121,1059,83 435S,,2022,Ford,F150 4x4 SuperCrew,"2,960","4,812","1,851",, ,,,,,,,
FAC MGMT,1FTBW1YK4PKB59945,1062,84 098S,,2023,Ford,Transit350 Electric,950,"3,628","2,678",, ,,,,,,,
FAC MGMT,1FT7W2AA6PEE21976,1063,84 091S,,2023,Ford,F250,"1,796","5,359","3,564",, ,,,,,,,
FAC MGMT,1FMCU0MZ0PUA48364,1064,84 068S,,2023,Ford,Escape Hybrid,"1,366","2,134",768,, ,,,,,,,
FAC MGMT,1FMCU0MZ0PUA48431,1065,84 063S,,2023,Ford,Escape Hybrid,"2,766","4,662","1,897",, ,,,,,,,
FAC MGMT,NM0GE9E21N1543984,1067,83 445S,,2022,Ford,Transit Connect XL Wagon LWB,"2,367","5,486","3,119",, ,,,,,,,
FAC MGMT,NM0LS7S28P1570084,1068,85 453S,,2023,Ford,Transit Connect,"1,313","6,480","5,167",, ,,,,,,,
FAC MGMT,NM0LS7S25P1570088,1069,85 454S,,2023,Ford,Transit Connect,78,"2,458","2,380",, ,,,,,,,
FAC MGMT,NM0LS7S23P1559932,1070,84 074S,,2023,Ford,Transit Connect,"1,183","2,492","1,309",, ,,,,,,,
FAC MGMT,NM0LS7S25P1559933,1071,84 077S,,2023,Ford,Transit Connect,"2,315","6,117","3,802",, ,,,,,,,
FAC MGMT,NM0LS7S26P1570083,1072,85 455S,,2023,Ford,Transit Connect,90,"1,672","1,582",, ,,,,,,,
FAC MGMT,NM0LS7S21P1570086,1073,85 456S,,2023,Ford,Transit Connect,706,"5,259","4,553",, ,,,,,,,
FAC MGMT,NM0LS7S22P1570081,1074,85 457S,,2023,Ford,Transit Connect,428,"4,226","3,798",, ,,,,,,,
FAC MGMT,NM0LS7S23P1570090,1075,85 458S,,2023,Ford,Transit Connect,379,"1,345",966,, ,,,,,,,
FAC MGMT,NM0LS7S27P1570089,1076,85 459S,,2023,Ford,Transit Connect,529,"2,576","2,048",, ,,,,,,,
FAC MGMT,NM0LS7S24P1570082,1077,85 460S,,2023,Ford,Transit Connect,374,"2,473","2,099",, ,,,,,,,
FAC MGMT,1FTBR1Y85MKA25484,1078,83 450S,,2021,Ford,Transit250,"15,474","19,618","4,145",, ,,,,,,,
FAC MGMT,1GCWGAFP4P1156675,1079,84 071S,,2023,Chevrolet,Express cargo van,"1,545","3,161","1,616",, ,,,,,,,
FAC MGMT,1GB0WLE73NF252677,1082,84 051S,,2022,Chevrolet,Silverado 200HD,"4,915","8,838","3,923",, ,,,,,,,
FAC MGMT,1GB0YLE75PF112658,1083,84 056S,,2023,Chevrolet,Silverado 2500HD,"3,221","5,673","2,452",, ,,,,,,,
FAC MGMT,1GCWGAFP1P1156665,1085,84 064S,,2023,Chevrolet,Express cargo van,"11,523","18,091","6,569",, ,,,,,,,
FAC MGMT,1FTBR1Y87MKA77246,1086,84 062S,,2021,Ford,Transit250 Low Roof Cargo Van,"19,193","21,196","2,003",, ,,,,,,,
FAC MGMT,1N6ED1CL1PN660113,1087,84 076S,,2023,Nissan,Frontier 2x4,"2,283","3,897","1,614",, ,,,,,,,
FAC MGMT,1GCWGAFP6P1156659,1090,84 082S,,2023,Chevrolet,Express van,"1,460","4,803","3,343",, ,,,,,,,
FAC MGMT,1FTER4FHXPLE34791,1092,84 072S,,2023,Ford,Ranger 4x4,"1,261","2,205",944,, ,,,,,,,
FAC MGMT,1FTMF1CB7PKE29766,1093,84 081S,,2023,Ford,F150,898,"1,197",299,, ,,,,,,,
FAC MGMT,1FDWE3FN1RDD25158,1094,86 275S,,2024,Ford,E350 Cutaway 2WD,6,"3,463","3,457",, ,,,,,,,
FAC MGMT,54DC4W1D1SS202158,1095,85 477S,,2025,Isuzu,NPR HD,332,"1,229",897,, ,,,,,,,
FAC MGMT,1GTW7AFP7R1102824,1096,86 246S,,2024,GMC,Savana 2500,8,90,82,, ,,,,,,,
FAC MGMT,1FTBR1Y80MKA44122,1099,84 078S,,2021,Ford,Transit 250,"21,497","22,912","1,416",, ,,,,,,,
FAC MGMT,1FTBR1Y85MKA26635,1100,84 079S,,2021,Ford,Transit 250,"24,924","28,270","3,346",, ,,,,,,,
FAC MGMT,NM0LS6S20P1560482,1103,84 080S,,2023,Ford,Transit Connect,"1,793","5,199","3,406",, ,,,,,,,
FAC MGMT,1N6ED1CM0NN652283,1104,84 085S,,2022,Nissan,Frontier S,"16,258","20,773","4,515",, ,,,,,,,
FAC MGMT,1GCWGAFP7P1218926,1106,84 086S,,2023,Chevrolet,Express cargo van,613,"2,873","2,259",, ,,,,,,,
FAC MGMT,1GCWGAFP4P1219144,1107,84 087S,,2023,Chevrolet,Express cargo van,27,"2,093","2,066",, ,,,,,,,
FAC MGMT,1GCWGAFP1P1218954,1108,84 088S,,2023,Chevrolet,Express cargo van,"2,098","4,893","2,795",, ,,,,,,,
FAC MGMT,1FTBF2AAXPED40781,1114,84 094S,,2023,Ford,F250,"2,194","5,900","3,706",,,,,,,,,
FAC MGMT,1FTMF1CBXPKF76079,1116,85 451S,,2023,Ford,F150,239,"1,061",821,,,,,,,,,
FAC MGMT,1FTMF1CBXPKF76339,1117,85 461S,,2023,Ford,F150,"1,483","5,960","4,477",,,,,,,,,
FAC MGMT,NM0LS7S26P1570942,1122,85 467S,,2023,Ford,Transit Connect,93,"1,804","1,711",,,,,,,,,
FAC MGMT,NM0LS7S26P1570939,1123,85 468S,,2023,Ford,Transit Connect,80,"10,257","10,177",,,,,,,,,
FAC MGMT,NM0LS7S26P1570949,1124,85 469S,,2023,Ford,Transit Connect,93,"3,093","3,000",,,,,,,,,
FAC MGMT,3FTTW8A36RRB09921,1126,86 290S,,2024,Ford,Maverick Hybrid,10,"2,243","2,233",,,,,,,,,
FAC MGMT,7TZ111C1XRR000020,1127,85 483S,,2024,Mullen,One EV mini cargo van,10,720,710,,,,,,,,,
FAC MGMT,1FTBF2BA5PEC63140,1128,85 473S,,2023,Ford,F250 4x4 Utility Body,8,"2,000","1,992",,,,,,,,,
FAC MGMT,3FTTW8B90RR33778,1129,86 289S,,2024,Ford,Maverick Hybrid,55,649,594,,,,,,,,,
FAC MGMT, 1FBAX2Y83SKA02083,1132,87-224S,,2025,Ford,Transit350 Low Roof,11,23,12,,,,,,,,,
FAC MGMT,1FBAX2Y85SKA01968,1133,87-225S,,2025,Ford,Transit350 Low Roof,11,16,5,,,,,,,,,
FAC MGMT,3FTTW8A38RRA93060,1137,85 485S,,2024,Ford,Maverick Hybrid,88,"2,030","1,942",,,,,,,,,
FAC MGMT,1GB3YSE71RF163570,1138,86 528S,,2024,Chevrolet,Silverado 3500,105,"1,441","1,336",,,,,,,,,
FAC MGMT,3ALACWFC8TDWK8601,1149,TEMP,,2026,Freightliner,M2106 Packer Truck,"1,079","1,087",8,,,,,,,,,
FAC MGMT,1FTMF1LP4RKD51591,1151,87 210S,,2024,Ford,F150 4x4,82,"1,571","1,489",,,,,,,,,
FAC MGMT,1FTMF1LP8RKD51934,1152,87 211S,,2024,Ford,F150 4x4,70,"1,681","1,611",,,,,,,,,
FAC MGMT,1FDBF2AA8SEC42806,1154,87 213S,,2025,Ford,F250,132,"1,011",879,,,,,,,,,
FAC MGMT,1HTKJPVM6RH696147,1156,TEMP,,2024,Chevrolet,Silverado 6500,0,426,426,,,,,,,,,
FAC MGMT,1N6ED1EK1NN675390,1159,87 212S,,2022,Nissan,Frontier P/U,"13,914","28,139","14,225",,,,,,,,,
,,,,,,,Total,,,"881,550",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
