,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2020 Odometer Reading,6/30/2021 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1HSLRTVN8EHA57283,123,28 632S,,1984,International,S1900 Truck Tractor,"213,951","214,312",361, , ,,,,,,,
FAC MGMT,2GTEC19V8211381136,325,44 343S,,2002,GMC,Sierra P/U,"42,390","43,991","1,601", , ,,,,,,,
FAC MGMT,1GBHC24U94E302354,359,49 486S,,2004,Chevrolet,Silverado P/U,"53,269","54,414","1,145", , ,,,,,,,
FAC MGMT,1GBHC24U54E300360,362,49 475S,,2004,Chevrolet,Silverado P/U,"52,708","53,600",892, , ,,,,,,,
FAC MGMT,1GCCS148958271645,385,51 283S,,2005,Chevrolet,Colorado P/U,"31,559","33,408","1,849", , ,,,,,,,
FAC MGMT,1GCCS196358271762,386,51 282S,,2005,Chevrolet,Colorado P/U,"44,355","46,330","1,975", , ,,,,,,,
FAC MGMT,1GCCS148658271831,388,51 280S,,2005,Chevrolet,Colorado P/U,"53,509","55,598","2,089", , ,,,,,,,
FAC MGMT,1GDHC24275E264355,390,51 294S,,2005,GMC,Sierra K2500 Utility Body,"55,859","59,599","3,740", , ,,,,,,,
FAC MGMT,1GDHC24275E264419,391,51 295S,,2005,GMC,Sierra K2500 Utility Body,"33,264","35,226","1,962", , ,,,,,,,
FAC MGMT,1GDHC24265E265075,392,51 296S,,2005,GMC,Sierra K2500 Utility Body,"71,483","73,965","2,482", , ,,,,,,,
FAC MGMT,1FDWF36P65EC71455,393,51 299S,,2005,Ford,F350 Stake Body,"50,953","52,342","1,389", , ,,,,,,,
FAC MGMT,1GDHC24U96E200529,399,53 374S,,2006,GMC,Sierra C2500 P/U,"33,977","35,742","1,765", , ,,,,,,,
FAC MGMT,1GDHC24U6E202265,419,53 375S,,2006,GMC,Sierra C2500 P/U,"58,317","58,814",497, , ,,,,,,,
FAC MGMT,1GTHK23D97F185325,424,54 624S,,2007,GMC,Sierra 2500 P/U,"56,329","58,592","2,263", , ,,,,,,,
FAC MGMT,1GCHC23U97F198170,426,54 649S,,2007,Chevrolet,Silverado P/U,"48,022","49,069","1,047", , ,,,,,,,
FAC MGMT,1GCHC23U27F199645,427,50 256S,,2007,Chevrolet,Silverado P/U,"53,607","56,196","2,589", , ,,,,,,,
FAC MGMT,1GDP7F13X7F419319,433,50 281S,,2007,GMC,"T7500 Cab, Chassis & Mulch Blower","14,441","15,348",907, , ,,,,,,,
FAC MGMT,1GCCS139878250573,435,56 154S,,2007,Chevrolet,Colorado P/U Crewcab,"23,033","24,715","1,682", , ,,,,,,,
FAC MGMT,1FTNF20588ED38336,442,56 185S,,2008,Ford,F250 P/U,"68,876","73,027","4,151", , ,,,,,,,
FAC MGMT,1GDHC23K58F196850,444,56 194S,,2008,GMC,Sierra 2500HD 3/4 Ton Crew Cab P/U,"91,458","96,918","5,460", , ,,,,,,,
FAC MGMT,1FDXF47R88ED57042,445,56 200S,,2008,Ford,F450 Dump Truck,"29,363","31,304","1,941", , ,,,,,,,
FAC MGMT,1FDXF46Y58ED51028,446,57 051S,,2008,Ford,F450 Utility Body,"35,768","38,696","2,928", , ,,,,,,,
FAC MGMT,3FAHP06Z69R100658,449,73 101S,,2009,Ford,Fusion,"11,786","11,888",102,, ,,,,,,,
FAC MGMT,1GNDV23W080207000,450,57 955S,,2008,Chevrolet,Uplander LE       pass van,"28,284","28,447",163,, ,,,,,,,
FAC MGMT,1GNDV23W28D206544,451,73 103S,,2008,Chevrolet,Uplander LE       pass van,"46,940","49,723","2,783",, ,,,,,,,
FAC MGMT,1GCEK14X99Z203037,465,57 090S,,2009,Chevrolet,Silverado P/U,"42,015","44,642","2,627", , ,,,,,,,
FAC MGMT,1GCGG25CX91155218,466,57 093S,,2009,Chevrolet,Express 2500HD,"20,226","21,167",941, , ,,,,,,,
FAC MGMT,1GCGG25C391155223,467,57 094S,,2009,Chevrolet,Express 2500HD,"111,125","114,233","3,108", , ,,,,,,,
FAC MGMT,1FTRF14W85NA17388,473,49 975S,,2005,Ford,F150 4x4 P/U,"35,638","38,240","2,602", , ,,,,,,,
FAC MGMT,1FTYR14D59PA15061,474,58 778S,,2009,Ford,Ranger 2D Ext Cab,"43,515","46,415","2,900", , ,,,,,,,
FAC MGMT,1FTLR1EE3BPA39219,487,58 800S,,2011,Ford,Ranger P/U,"19,005","19,838",833, , ,,,,,,,
FAC MGMT,1FMCU9C73BKB99191,489,60 095S,,2011,Ford,Escape,"21,365","23,792","2,427", , ,,,,,,,
FAC MGMT,1FMCU9C75BKB99192,490,60 096S,,2011,Ford,Escape,"25,920","30,023","4,103", , ,,,,,,,
FAC MGMT,1FDOW4GY4BEC41756,492,50 771S,,2011,Ford,F450,"25,387","27,290","1,903", , ,,,,,,,
FAC MGMT,1FD0X5HT1BEC96106,496,60 057S,,2011,Ford,F550 4WD SD SC,"21,923","22,936","1,013", , ,,,,,,,
FAC MGMT,1GTR1TEX7BZ185688,497,60 054S,,2011,GMC,Sierra  Ext Cab P/U,"26,388","28,345","1,957", , ,,,,,,,
FAC MGMT,1GCWGFCA7B1149449,498,60 056S,,2011,Chevrolet,Express 2500HD Van,"72,499","82,542","10,043", , ,,,,,,,
FAC MGMT,NM0KS9BN3BT062975,499,60 058S,,2011,Ford,Transit Connect XLT Wagon,"32,973","35,514","2,541", , ,,,,,,,
FAC MGMT,1GD01ZCG2BF221976,500,60 060S,,2011,GMC,Sierra P/U,"45,336","48,409","3,073", , ,,,,,,,
FAC MGMT,1GD312CG9BF248144,503,60 059S,,2011,GMC,Sierra,"19,297","20,955","1,658", , ,,,,,,,
FAC MGMT,NM0KS9BN0BT066000,510,60 067S,,2011,Ford,Transit Connect Wagon,"28,048","29,467","1,419", , ,,,,,,,
FAC MGMT,NM0LS6BNXBT068095,511,60 065S,,2011,Ford,Transit Connect Wagon,"31,126","34,146","3,020", , ,,,,,,,
FAC MGMT,1GC0KVCG8BF165388,512,60 070S,,2011,Chevrolet,Silverado 2500 P/U,"65,550","73,782","8,232", , ,,,,,,,
FAC MGMT, JALC4W161C7001580,515,60 068S,,2012,Isuzu,NPR Box Van,"35,742","39,691","3,949", , ,,,,,,,
FAC MGMT,NM0KS9CN6BT059213,518,60 071S,,2011,Ford,Transit Connect Wagon,"14,451","14,576",125, , ,,,,,,,
FAC MGMT,1GB3CZCG5BF260156,521,62 148S,,2011,Chevrolet,Silverado 3500 P/U,"29,955","32,469","2,514", , ,,,,,,,
FAC MGMT,1G1PC5SH6C7152696,522,60 073S,,2012,Chevrolet,Cruze,"25,856","26,637",781, , ,,,,,,,
FAC MGMT,1GD01ZCGXBF248083,524,60 075S,,2011,GMC,Sierra 2500,"43,278","47,167","3,889", , ,,,,,,,
FAC MGMT,1GD372BG1B1158936,525,620150S,,2011,GMC,Savana 3500 Box Van,"50,324","52,931","2,607", , ,,,,,,,
FAC MGMT,1GCGTBF93C8114751,526,62 306S,,2012,Chevrolet,Colorado P/U,"13,461","15,303","1,842", , ,,,,,,,
FAC MGMT,1GD01ZCG3BF264495,527,62 311S,,2011,GMC,Sierra P/U,"29,957","32,102","2,145", , ,,,,,,,
FAC MGMT,NM0KS9CNXCT084200,530,62 336S,,2012,Ford,Transit Connect XLT Wagon,"27,225","30,102","2,877", , ,,,,,,,
FAC MGMT,NM0LS6BN6CT081833,531,62 335S,,2012,Ford,Transit Connect XLT Van,"37,246","38,916","1,670", , ,,,,,,,
FAC MGMT,1GD01ZCG6CF133515,532,62 656S,,2012,GMC,Sierra C2500 HD P/U Utility Body,"29,140","31,057","1,917", , ,,,,,,,
FAC MGMT,NM0LS6BN6CT082206,536,62 673S,,2012,Ford,Transit Connect XLT Van,"32,810","33,317",507, , ,,,,,,,
FAC MGMT,1G1PCSSH1C7252642,537,62 675S,,2012,Chevrolet,Cruze LS,"20,173","20,962",789, , ,,,,,,,
FAC MGMT,1GCCSBF92C8115309,538,62 672S,,2012,Chevrolet,Colorado P/U,"23,170","25,929","2,759", , ,,,,,,,
