,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
FAC MGMT,NM0KS9BN6CT090948,540,62 679S,,2012,Ford,Transit Connect XLT Wagon,"35,843","39,168","3,325", , ,,,,,,,
FAC MGMT,1GTW7GCA9C1149699,541,62 680S,,2012,GMC,Savana Van,"28,536","29,226",690, , ,,,,,,,
FAC MGMT,NM0LS6BN8CT089965,542,62 681S,,2012,Ford,Transit Connect XLT Van,"13,419","14,984","1,565", , ,,,,,,,
FAC MGMT,3GCPKSE73CG123205,544,63 656S,,2012,Chevrolet,Silverado 1500 LT Crew Cab 4WD,"13,917","14,831",914, , ,,,,,,,
FAC MGMT,1GB0CVCG0CF184181,545,63 684S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"22,310","24,868","2,558", , ,,,,,,,
FAC MGMT,1GB0CVCG3CF150414,548,63 683S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"29,610","32,165","2,555", , ,,,,,,,
FAC MGMT,1GB0CVCG6CF134269,549,63 689S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"20,611","22,822","2,211", , ,,,,,,,
FAC MGMT,NMOLS7DNXCT115128,553,64 259S,,2012,Ford,Transit Connect,"44,150","50,047","5,897", , ,,,,,,,
FAC MGMT,NM0LS6BN3CT123455,558,64 298S,,2012,Ford,Transit Connect XLT,"53,276","58,216","4,940", , ,,,,,,,
FAC MGMT,1GD01ZCG0DF152854,565,64 332S,,2013,GMC,Sierra 2500 HD,"34,399","36,734","2,335", , ,,,,,,,
FAC MGMT,NM0LS6BN8DT140639,567,64 336S,,2013,Ford,Transit Connect XLT,"37,082","40,351","3,269", , ,,,,,,,
FAC MGMT,1GB0CVCG1DF184790,569,65 775S,,2013,Chevrolet,Silverado 2500HD Utility Body,"24,786","28,083","3,297", , ,,,,,,,
FAC MGMT,1GCWGFBA5E1115435,580,65 846S,,2014,Chevrolet,Express Cargo Van,"27,025","29,156","2,131", , ,,,,,,,
FAC MGMT,1GD322CGXEF150645,581,65 847S,,2014,GMC,Sierra 3500 w/dump,"31,777","35,243","3,466", , ,,,,,,,
FAC MGMT,NM0LS7DN3DT130149,583,67 460S,,2013,Ford,Transit Connect XLT,"10,665","12,792","2,127", , ,,,,,,,
FAC MGMT,1GNSHBF46E1164546,584,67 452S,,2014,Chevrolet,Express 1500 Van,"16,947","18,707","1,760", , ,,,,,,,
FAC MGMT,1GCSGAFX9E1162337,585,67 451S,,2014,Chevrolet,Express 1500 Van,"26,248","29,868","3,620", , ,,,,,,,
FAC MGMT,1FTFW1EF3EFB11058,586,67 449S,,2014,Ford,F150 4x4 P/U       Crew Cab,"13,507","15,744","2,237", , ,,,,,,,
FAC MGMT,NM0LS7DNXDT164122,587,67 450S,,2013,Ford,Transit Connect XLT,"13,742","15,921","2,179", , ,,,,,,,
FAC MGMT,NM0LS7BN0DT170398,588,76 541S,,2013,Ford,Transit Connect XLT,"17,812","20,259","2,447", , ,,,,,,,
FAC MGMT,1FT7X2A61FEA35344,589,67 492S,,2015,Ford,F250 Supercab P/U,"21,417","23,090","1,673", , ,,,,,,,
FAC MGMT,1FT7X2A6XFEA41417,590,67 474S,,2015,Ford,F250 Supercab P/U,"23,510","25,315","1,805", , ,,,,,,,
FAC MGMT,1FDRF3HT3FEA23785,591,67 476S,,2015,Ford,F350 4X4,"29,237","34,135","4,898", , ,,,,,,,
FAC MGMT,1GCWGFCA1E1149466,592,67 477S,,2014,Ford,F350 4X4,"59,605","69,521","9,916", , ,,,,,,,
FAC MGMT,1FVHCYCY5EHFR8547,593,67 490S,,2014,Freightliner,Crane Truck,"7,085","7,305",220, , ,,,,,,,
FAC MGMT,1FT7X2A6XFEA59089,594,67 491S,,2015,Ford,F250 Supercab,"33,723","39,473","5,750", , ,,,,,,,
FAC MGMT,1FTBF2B63FEA41416,595,67 489S,,2015,Ford,F250 4X4,"26,093","29,420","3,327", , ,,,,,,,
FAC MGMT,1FTWX315X6EB27092,597,50 746S,,2006,Ford,F350 4x4 P/U,"75,495","78,453","2,958", , ,,,,,,,
FAC MGMT,1FDWE3FL3EDA82851,598,68 106S,,2014,Ford,E350 Cutaway,"32,494","37,198","4,704", , ,,,,,,,$0.00
FAC MGMT,1N6BD0CT2EN740014,599,68 111S,,2014,Nissan,Frontier S,"16,521","18,208","1,687", , ,,,,,,,
FAC MGMT,1FM5K8B87FGA41755,600,68 110S,,2015,Ford,Explorer,"9,886","11,221","1,335", , ,,,,,,,
FAC MGMT,NM0LE6E7XE1154768,635,68 115S,,2014,Ford,Transit Connect XL Van,"22,497","27,427","4,930", , ,,,,,,,
FAC MGMT,NM0AE8F71E1151145,636,68 122S,,2014,Ford,Transit Connect XLT Wagon,"15,856","18,742","2,886", , ,,,,,,,
FAC MGMT,1FDUF5HY5FEA99008,637,68 153S,,2015,Ford,F-550,"28,139","33,199","5,060", , ,,,,,,,
FAC MGMT,1GB3G2CG8E1199172,638,68 152S,,2014,Chevrolet,G35 Express,"38,341","42,781","4,440", , ,,,,,,,
FAC MGMT,1GB3KYCG7FF525470,639,68 158S,,2015,Chevrolet,Silverado 4WD,"36,528","42,202","5,674", , ,,,,,,,
FAC MGMT,1GB3KYCG0FF506386,640,68 166S,,2015,Chevrolet,Silverado 3500 4WD,"12,539","15,116","2,577", , ,,,,,,,
FAC MGMT,1FDRF3H63FEB37733,641,68 165S,,2015,Ford,F350,"25,549","28,508","2,959", , ,,,,,,,
FAC MGMT,NM0LS7E75F1177066,643,68 193S,,2015,Ford,Transit Connect XL Van,"18,807","22,030","3,223", , ,,,,,,,
FAC MGMT,NM0LS7E78F1177062,644,68 200S,,2015,Ford,Transit Connect XL Van,"23,989","28,228","4,239", , ,,,,,,,
FAC MGMT,1GCHTAEA7F1159909,645,68 198S,,2015,Chevrolet,Colorado Ext Cab P/U,"45,614","54,168","8,554", , ,,,,,,,
FAC MGMT,NM0LS7E71F1187836,647,68 199S,,2015,Ford,Transit Connect XL Van,"9,992","11,125","1,133", , ,,,,,,,
FAC MGMT,NM0LS7E7XF1188712,648,69 462S,,2015,Ford,Transit Connect XL Van,"34,981","41,126","6,145", , ,,,,,,,
FAC MGMT,2G1WA5E31F1136845,650,68 867S,,2015,Chevrolet,Impala,"7,387","7,729",342, , ,,,,,,,
FAC MGMT,1GCWGFCG1F1210000,652,69 471S,,2015,Chevrolet,Express 2500,"12,648","15,841","3,193", , ,,,,,,,
FAC MGMT,NM0LS7E76F1208020,654,69 497S,,Ford,2015,Transit Connect XL Van,"14,964","17,815","2,851", , ,,,,,,,
FAC MGMT,1GTH6BEAXG1102988,656,69 498S,,2016,GMC,Canyon,"33,414","40,291","6,877", , ,,,,,,,
FAC MGMT,1GTH6AEA1F1155104,657,69 917S,,2015,GMC,Canyon,"15,267","17,879","2,612", , ,,,,,,,
FAC MGMT,1GTH5BEA6G1112498,659,69 938S,,2016,GMC,Canyon Ext Cab,"10,329","13,016","2,687", , ,,,,,,,
FAC MGMT,1GC4KYCG3FF649865,660,69 919S,,2015,Chevrolet,Silverado Crew Cab,"18,035","20,401","2,366", , ,,,,,,,
FAC MGMT,1FTNR2CM3FKB11211,661,69 920S,,2015,Ford,Transit 250 Mid Roof,"13,899","16,699","2,800", , ,,,,,,,
FAC MGMT,1GD01XEG7FZ523091,662,69 940S,,2015,GMC,Sierra 2500,"25,865","32,110","6,245", , ,,,,,,,
FAC MGMT,3GCPCPEHXFG397458,663,70 453S,,2015,Chevrolet,Silverado 1500,"36,709","43,083","6,374", , ,,,,,,,
FAC MGMT,1FM5K8B87GGA78497,664,70 474S,,2016,Ford,Explorer,"7,124","7,324",200, , ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA06459,665,70 476S,,2016,Ford,Transit,"13,378","17,029","3,651", , ,,,,,,,
FAC MGMT,1GC0KUEG4FZ103210,666,70 473S,,2015,Chevrolet,Silverado 2500,"9,917","12,433","2,516", , ,,,,,,,
FAC MGMT,1GB0CUEG6FZ515694,667,70 478S,,2015,Chevrolet,Silverado 2500,"23,619","28,119","4,500", , ,,,,,,,
FAC MGMT,1GT02VEG3GZ160764,668,70 479S,,2016,GMC,Sierra 3500,"4,541","5,316",775, , ,,,,,,,
FAC MGMT,1C4NJDBB8GD632448,670,70 496S,,2016,Jeep,Compass,"11,734","13,549","1,815", , ,,,,,,,
FAC MGMT,3N63M0YN0FK726313,671,70 495S,,2015,Chevrolet,City Express LS,"5,935","6,538",603, , ,,,,,,,
FAC MGMT,NM0LS7E7XG1242088,674,71 055S,,2016,Ford,Transit Connect XL,"13,594","17,079","3,485", , ,,,,,,,
FAC MGMT,NM0AE8F75G1241496,675,71 054S,,2016,Ford,Transit Connect XLT Wagon,"7,925","8,880",955, , ,,,,,,,
FAC MGMT,1C4NJDBB6GD581581,677,71 098S,,2016,Jeep,Compass Sport,"11,310","12,994","1,684", , ,,,,,,,
FAC MGMT,1FTYE1ZM9GKA99237,679,71 969S,,2016,Ford,Transit,"5,271","6,338","1,067", , ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA99242,680,71 968S,,2016,Ford,Transit,"12,514","14,925","2,411", , ,,,,,,,
FAC MGMT,1GC1CUEG9GF199758,681,71 970S,,2016,Chevrolet,Silverado 2500,"10,897","12,754","1,857", , ,,,,,,,
FAC MGMT,1GCHTBE3XG1297131,687,71 991S,,2016,Chevrolet,Colorado Ext Cab P/U,"16,337","20,699","4,362", , ,,,,,,,
FAC MGMT,1FD8X3HT4GEC33077,688,72 796S,,2016,Ford,F350 Extd Cab,"23,585","27,170","3,585", , ,,,,,,,
FAC MGMT,NM0GE9E70G1276660,689,71 992S,,2016,Ford,Transit Connect XL Wagon LWB,"7,641","8,307",666, , ,,,,,,,
FAC MGMT,NM0LS7E78G1278748,700,72 789S,,2016,Ford,Transit Connect XL Van,"10,519","14,195","3,676", , ,,,,,,,
FAC MGMT,1GT11REG5GF278220,702,72 790S,,2016,GMC,Sierra Crew Cab w/liftgate,"8,689","11,346","2,657", , ,,,,,,,
FAC MGMT,1FTBF2A68HEE58258,703,74 162S,,2017,Ford,F250 w/tommy gate lift gate,"13,758","19,076","5,318", , ,,,,,,,
FAC MGMT,1FDUF5HYXHEB93114,706,72 795S,,2017,Ford,F550 4x4 DumpTruck,"17,410","23,168","5,758", , ,,,,,,,
FAC MGMT,NM0LS7E75G1291375,708,73 105S,,2016,Ford,Transit Connect Van,"7,870","8,952","1,082", , ,,,,,,,
FAC MGMT,1GTH5BEA8G1383479,709,73 106S,,2016,GMC,Canyon,"9,675","11,853","2,178", , ,,,,,,,
FAC MGMT,NM0LS7E74G1259209,712,73 109S,,2016,Ford,Transit Connect XL Van LWB,"8,011","10,310","2,299", , ,,,,,,,
FAC MGMT,1FTYR1CM9GKB14042,714,73 115S,,2016,Ford,Transit Van,"9,067","11,236","2,169", , ,,,,,,,
FAC MGMT,1FTYR1CM5GKA99264,717,73 124S,,2016,Ford,Transit 250 Van,"17,312","23,096","5,784", , ,,,,,,,
FAC MGMT,NM0LS7E75G1241463,718,73 118S,,2016,Ford,Transit Connect XL Van LWB,"11,048","14,131","3,083", , ,,,,,,,
FAC MGMT,1FDNF7AY8HDB04186,719,73 122S,,2017,Ford,F750 Dump Truck w/snowblade&salt spreader,"5,390","7,097","1,707", , ,,,,,,,
FAC MGMT,1FDUF4HY8HEB86124,720,73 121S,,2017,Ford,F450 Dump Truck w/salt spreader,"14,659","19,089","4,430", , ,,,,,,,
FAC MGMT,1FDUF4HYXHEB86125,721,73 123S,,2017,Ford,F450 4x4 Reg Cab,"12,862","15,893","3,031", , ,,,,,,,
FAC MGMT,NM0LS7E72G1272296,722,73 119S,,2016,Ford,Transit Connect XL Van LWB,"8,182","10,495","2,313", , ,,,,,,,
FAC MGMT,1FDUF4HY6HEB86123,723,73 125S,,2017,Ford,F450 4x4 Reg Chasis Cab,"10,772","14,249","3,477", , ,,,,,,,
FAC MGMT,NM0LS7E7XG1269999,725,73 126S,,2016,Ford,Transit Connect XL Van LWB,"5,823","6,360",537, , ,,,,,,,
FAC MGMT,1FDUF4HY2HEB80108,726,73 127S,,2017,Ford,F450 4x4 Reg Chasis Cab,"10,940","15,006","4,066", , ,,,,,,,
FAC MGMT,1FTYR1CM0GKA94831,727,73 128S,,2016,Ford,Transit 250 Van,"10,230","11,821","1,591", , ,,,,,,,
FAC MGMT,NMOAE8FX4G1261125,728,73 131S,,2016,Ford,Transit Connect XLT Wagon SWB,"6,588","8,216","1,628", , ,,,,,,,
FAC MGMT,NMOAE8F70G1254589,729,73 130S,,2016,Ford,Transit Connect XLT Wagon SWB,"6,681","8,405","1,724", , ,,,,,,,
FAC MGMT,NMOLS7E78G1233759,730,73 133S,,2016,Ford,Transit Connect XL Van LWB,"10,483","13,165","2,682", , ,,,,,,,
FAC MGMT,1FTBF2B66HED45262,731,73 134S,,2017,Ford,F250 4x4 Reg Cab SS SRW,"13,275","17,389","4,114", , ,,,,,,,
FAC MGMT,1GT11REG1HF104775,732,73 135S,,2017,GMC,Sierra P/U 2WD Crew Cab,"12,722","15,282","2,560", , ,,,,,,,
FAC MGMT,1GT01REG3HZ237225,733,73 136S,,2017,GMC,Sierra P/U 2WD Reg Cab,"8,456","10,251","1,795", , ,,,,,,,
FAC MGMT,1GCHTBEN9H1181955,734,73 137S,,2017,Chevrolet,Colorado P/U 4x4,"11,753","14,723","2,970", , ,,,,,,,
FAC MGMT,NMOAS8F70H1325803,735,73 138S,,2017,Ford,Transit Connect XLT Wagon SWB,"10,209","12,572","2,363", , ,,,,,,,
FAC MGMT,NMOLS7E70G1252063,736,73 139S,,2016,Ford,Transit Connect XL Van LWB,"14,728","18,517","3,789", , ,,,,,,,
FAC MGMT,1GCNCPEX3BZ284007,737,73 148S,,2011,Chevrolet,Silverado 1500,"50,759","52,866","2,107", , ,,,,,,,
FAC MGMT,1FTYR1ZM7GKA23259,740,73 145S,,2016,Ford,Transit 250 Cargo Van,"24,697","26,997","2,300", , ,,,,,,,
FAC MGMT,1FTYR1ZM9GKA30410,741,73 146S,,2016,Ford,Transit 250 Cargo Van,"23,810","25,389","1,579",, ,,,,,,,
FAC MGMT,1FTYR1ZM5GKA23258,742,73 147S,,2016,Ford,Transit 250 Cargo Van,"29,983","33,397","3,414",, ,,,,,,,
FAC MGMT,1GCHSBEA5H1223957,743,74 154S,,2017,Chevrolet,Colorado 2WD Ext. Cab,"10,819","14,414","3,595",, ,,,,,,,
FAC MGMT,3C6TRVDG0HE516277,744,74 153S,,2017,Dodge,Ram Promaster Van,"31,385","33,764","2,379",, ,,,,,,,
FAC MGMT,ZFBERFAB3H6G39115,747,74 160S,,2017,Dodge,Ram Promaster City Van,"8,662","10,833","2,171",, ,,,,,,,
FAC MGMT,ZFBERFAB4H6G42038,748,74 161S,,2017,Dodge,Ram Promaster City Van,"5,058","7,207","2,149",, ,,,,,,,
FAC MGMT,1GTW7AFF3H1117939,750,74 158S,,2017,GMC,Savana Van,"6,064","6,954",890,, ,,,,,,,
FAC MGMT,ZFBERFAT8G6B83720,751,74 157S,,2016,Dodge,Ram Promaster City Cargo Van,"18,302","21,467","3,165",, ,,,,,,,
FAC MGMT,1GTN1LEC4GZ904558 ,752,74 164S,,2016,GMC,Sierra 1500 P/U,"19,018","21,225","2,207",, ,,,,,,,
FAC MGMT, 1N6BD0CT5GN711450,757,74 171S,,2016,Nissan,Frontier P/U,"20,298","24,994","4,696",, ,,,,,,,
FAC MGMT,1GB3GSCG5H1239910,758,74 167S,,2017,Chevrolet,Express 3500 Box Van,"19,788","23,953","4,165",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK720353,759,74 166S,,2017,Chevrolet,City Express Van,"3,029","3,656",627,, ,,,,,,,
FAC MGMT,1FTMF1E58JKC65751,762,74 168S,,2018,Ford,F150 P/U,"8,203","10,237","2,034",, ,,,,,,,
FAC MGMT,3C6TRVDG6HE512539,763,74 173S,,2017,Dodge,Ram 2500 High Roof Cargo Van,"21,687","23,341","1,654",, ,,,,,,,
FAC MGMT,3ALACWFC6JRJX4023,766,74 174S,,2018,Freightliner,M2 106 Truck w/Heil PT 1000 13 cubic yard compactor,"22,195","32,459","10,264",, ,,,,,,,
FAC MGMT,3N63M0YN0HK719428,768,74 175S,,2017,Chevrolet,City Express Cargo Van,"9,538","12,217","2,679",, ,,,,,,,
FAC MGMT,1FTBF2B6XJEB31462,769,74 176S,,2018,Ford,F250 4x4 P/U,"7,965","11,648","3,683",, ,,,,,,,
FAC MGMT,1GAWGFFG2H1136948,773,74 185S,,2017,Chevrolet,Express 2500       12-Pass Van,"33,275","35,451","2,176",, ,,,,,,,
FAC MGMT,1N6BD0CT5GN785483,775,74 178S,,2016,Nissan,Frontier P/U,"12,122","16,435","4,313",, ,,,,,,,
FAC MGMT,1FTYR1YM2HKA71030,776,74 179S,,2017,Ford,Transit 250         cargo van,"13,028","17,803","4,775",, ,,,,,,,
FAC MGMT,1E9EA15S4JP363168,777,5823L      (low speed),,2018,E-Ride,Patriot Electric LSV,"3,503","4,487",984,, ,,,,,,,
FAC MGMT,1N6AD0CW0JN727925,778,74 180S,,2018,Nissan,Frontier P/U 4x4,"9,649","13,413","3,764",, ,,,,,,,
FAC MGMT,1N6BD0CTXHN742212,779,74 181S,,2017,Nissan,Frontier P/U ,"9,978","13,278","3,300",, ,,,,,,,
FAC MGMT,1N6AD0CW0HN755024,780,74 182S,,2017,Nissan,Frontier P/U 4x4,"15,371","18,278","2,907",, ,,,,,,,
FAC MGMT,1FD7W2A63JEB31922,781,74 183S,,2018,Ford,F250 P/U crew cab w/lift gate,"7,601","9,854","2,253",, ,,,,,,,
FAC MGMT,1FTYR2YM9JKA44502,782,75 601S,,2018,Ford,Transit 250         cargo van,"32,332","45,323","12,991",, ,,,,,,,
FAC MGMT,1FDBF2A66JEB41614,783,74 186S,,2018,Ford,F250 w/reading utility body,"6,787","9,800","3,013",, ,,,,,,,
FAC MGMT,1GB3CYCGXJZ250407,784,74 187S,,2018,Chevrolet,Silverado 3500 P/U,"3,351","4,437","1,086",, ,,,,,,,
FAC MGMT,NM0LS7E73H1335293,785,74 190S,,2017,Ford,Transit Connect XL Cargo Van,"4,470","6,277","1,807",, ,,,,,,,
FAC MGMT,1FTBF2B69JEB84315,786,74 189S,,2018,Ford,F250 4x4 P/U w/snow plow,"5,462","12,432","6,970",, ,,,,,,,
FAC MGMT,1FM5K8B8XJGB04887,787,74 193S,,2018,Ford,Explorer,"5,222","7,051","1,829",, ,,,,,,,
FAC MGMT,1FDNF6AY8JDF02255,788,74 195S,,2018,Ford,F650 w/switch & go body,"3,442","6,166","2,724",, ,,,,,,,
FAC MGMT,1N4AZ1CP7JC312931,789,75 634S,,2018,Nissan,Leaf S,"3,014","3,756",742,, ,,,,,,,
FAC MGMT,1FVHG3FE3KHKS7792,790,76 516S,,2019,Freightliner,114SD Vactor Pumper Truck,"1,735","2,677",942,, ,,,,,,,
FAC MGMT,1FDUF5GY4JEB23387,799,75 606S,,2018,Ford,F550 w/service crane,"3,293","5,028","1,735",, ,,,,,,,
FAC MGMT,1FTBF2A62KEC12569,816,75 628S,,2019,Ford,F250 4x2 w/lift gate,"4,467","5,672","1,205",, ,,,,,,,
