,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2023 Odometer Reading,"ACTUAL
2023 mileage",6/30/2024 Odometer Reading,"REVISED 
Annual Mileage",Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,NM0LS7S25P1559933,1071,84 077S,,2023,Ford,Transit Connect,4,4,"2,315","2,311","2,311",, ,,,,,,,
FAC MGMT,1FTYR1ZM1JKA89815,913,78 560S,,2018,Ford,Transit250,"22,328","22,328","24,621","2,293","2,293",, ,,,,,,,
FAC MGMT,1FTMF1E51LKE10695,925,78 580S,,2020,Ford,F150 P/U,"10,002","10,002","12,282","2,280","2,280",, ,,,,,,,
FAC MGMT,1N6BD0CT9HN760555,917,78 556S,,2017,Nissan,Frontier 4x2,"27,846","27,846","30,120","2,274","2,274",, ,,,,,,,
FAC MGMT,NM0LS7S26N1540286,993,83 423S,,2022,Ford,Transit Connect XL,"1,660","1,660","3,929","2,269","2,269",, ,,,,,,,
FAC MGMT,NM0LS7S29N1540329,994,83 422S,,2022,Ford,Transit Connect XL,"1,900","1,900","4,155","2,255","2,255",, ,,,,,,,
FAC MGMT,1GT01REG3HZ237225,733,73 136S,,2017,GMC,Sierra P/U 2WD Reg Cab,"15,807","15,807","18,058","2,251","2,251", , ,,,,,,,
FAC MGMT,1N6AD0CW0HN755024,780,74 182S,,2017,Nissan,Frontier P/U 4x4,"23,130","23,130","25,362","2,232","2,232",, ,,,,,,,
FAC MGMT,1GC0KUEG4FZ103210,666,70 473S,,2015,Chevrolet,Silverado 2500,"16,264","16,264","18,477","2,214","2,214", , ,,,,,,,
FAC MGMT,1FDUF5GNXMDA04792,975,80 717S,,2021,Ford,F550 4x2 Reg. Cab Utility Body Truck,"7,798","7,798","9,988","2,191","2,191",, ,,,,,,,
FAC MGMT,1N6ED1EK3NN643248,1101,84 084S,,2022,Nissan,Frontier SV,91,"10,697","12,881","2,184","12,790",, ,,,,,,,
FAC MGMT,1GC4KYCG3FF649865,660,69 919S,,2015,Chevrolet,Silverado Crew Cab,"24,231","24,231","26,411","2,180","2,180", , ,,,,,,,
FAC MGMT,3GCNWAEF3MG367287,1048,83 414S,,2021,Chevrolet,Silverado 1500 P/U,"17,456","17,456","19,636","2,180","2,180",, ,,,,,,,
FAC MGMT,1FTBF2A68HEE58258,703,74 162S,,2017,Ford,F250 w/tommy gate lift gate,"26,242","26,242","28,415","2,172","2,172", , ,,,,,,,
FAC MGMT,NM0GS9E24K1417090,896,76 549S,,2019,Ford,Transit Connect,"8,869","8,869","11,032","2,163","2,163",, ,,,,,,,
FAC MGMT,1GAWGFFG2H1136948,773,74 185S,,2017,Chevrolet,Express 2500       12-Pass Van,"42,603","42,603","44,757","2,154","2,154",, ,,,,,,,
FAC MGMT,1GB0CVCG3CF150414,548,63 683S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"38,582","38,582","40,730","2,148","2,148", , ,,,,,,,
FAC MGMT,1GTH5BEA6G1112498,659,69 938S,,2016,GMC,Canyon Ext Cab,"19,384","19,384","21,520","2,135","2,135", , ,,,,,,,
FAC MGMT,1FTYR1CM9GKB14042,714,73 115S,,2016,Ford,Transit Van,"15,524","15,524","17,659","2,135","2,135", , ,,,,,,,
FAC MGMT,1FDNF6AY8JDF02255,788,74 195S,,2018,Ford,F650 w/switch & go body,"10,084","10,084","12,210","2,125","2,125",, ,,,,,,,
FAC MGMT,NM0LS7S27N1540345,1008,83 415S,,2022,Ford,Transit Connect XL,"1,255","1,255","3,374","2,119","2,119",, ,,,,,,,
FAC MGMT,NM0GS9F76J1360853,833,75 642S,,2018,Ford,Transit Connect XLT (LWB) Van,"8,773","8,773","10,880","2,106","2,106",, ,,,,,,,
FAC MGMT,1N4AZ1CP3JC303675,867,75 649S,,2018,Nissan,Leaf SV,"5,481","5,481","7,584","2,103","2,103",, ,,,,,,,
FAC MGMT,1FDUF4HY6HEB86123,723,73 125S,,2017,Ford,F450 4x4 Reg Chasis Cab,"19,513","19,513","21,615","2,101","2,101", , ,,,,,,,
FAC MGMT,1N6ED1CL1PN660113,1087,84 076S,,2023,Nissan,Frontier 2x4,186,186,"2,283","2,097","2,097",, ,,,,,,,
FAC MGMT,1FTBR1Y87MKA77246,1086,84 062S,,2021,Ford,Transit250 Low Roof Cargo Van,"16,886","17,097","19,193","2,096","2,307",, ,,,,,,,
FAC MGMT,NM0AE8F75G1241496,675,71 054S,,2016,Ford,Transit Connect XLT Wagon,"12,258","12,258","14,348","2,090","2,090", , ,,,,,,,
FAC MGMT,1GCWGAFP1P1218954,1108,84 088S,,2023,Chevrolet,Express cargo van,10,10,"2,098","2,088","2,088",, ,,,,,,,
FAC MGMT,NM0LS7E72G1272296,722,73 119S,,2016,Ford,Transit Connect XL Van LWB,"15,854","15,854","17,935","2,081","2,081", , ,,,,,,,
FAC MGMT,1GCCSBF92C8115309,538,62 672S,,2012,Chevrolet,Colorado P/U,"31,285","31,285","33,345","2,059","2,059", , ,,,,,,,
FAC MGMT,1N6BD0CT4HN745526,861,75 644S,,2017,Nissan,Frontier              King Cab 4x2,"17,327","17,327","19,377","2,050","2,050",, ,,,,,,,
FAC MGMT,1FTBF2AAXPED40781,1114,84 094S,,2023,Ford,F250,148,148,"2,194","2,046","2,046",,,,,,,,,
FAC MGMT,1FTBF2AA7PEC90860,1054,84 070S,,2023,Ford,F250 2x4 enclosed Utility Body,169,169,"2,208","2,039","2,039",, ,,,,,,,
FAC MGMT,1N6ED0CE9MN721845,982,80 732S,,2021,Nissan,Frontier SV,"3,863","3,863","5,898","2,035","2,035",, ,,,,,,,
FAC MGMT,1GT11REG5GF278220,702,72 790S,,2016,GMC,Sierra Crew Cab w/liftgate,"16,851","16,851","18,880","2,029","2,029", , ,,,,,,,
FAC MGMT,1FTBR1Y85MKA26635,1100,84 079S,,2021,Ford,Transit 250,"22,900","22,900","24,924","2,024","2,024",, ,,,,,,,
FAC MGMT,1FTYR1ZM9GKA30410,741,73 146S,,2016,Ford,Transit 250 Cargo Van,"28,561","28,561","30,576","2,015","2,015",, ,,,,,,,
FAC MGMT,1FTEX1EB8NKF27121,1059,83 435S,,2022,Ford,F150 4x4 SuperCrew,949,949,"2,960","2,011","2,011",, ,,,,,,,
FAC MGMT,1GTH5BEA8G1383479,709,73 106S,,2016,GMC,Canyon,"15,976","15,976","17,976","2,000","2,000", , ,,,,,,,
FAC MGMT,1FTYR1ZM7JKA65440,907,76 546S,,2018,Ford,Transit250 Low Roof Cargo Van,"19,951","19,951","21,942","1,991","1,991",, ,,,,,,,
FAC MGMT,1N4AZ1CP9JC311506,886,76 527S,,2018,Nissan,Leaf SV,"6,112","6,112","8,102","1,990","1,990",, ,,,,,,,
FAC MGMT,NM0LS7DNXDT164122,587,67 450S,,2013,Ford,Transit Connect XLT,"20,989","20,989","22,974","1,985","1,985", , ,,,,,,,
FAC MGMT,NM0LS7E7XG1269999,725,73 126S,,2016,Ford,Transit Connect XL Van LWB,"8,836","8,836","10,798","1,962","1,962", , ,,,,,,,
FAC MGMT,1N6BD0CT4JN766303,930,78 575S,,2018,Nissan,Frontier S,"9,795","9,795","11,750","1,955","1,955",, ,,,,,,,
FAC MGMT,1FT7X2AA4PEE16627,1053,84 089S,,2023,Ford,F251,127,127,"2,044","1,917","1,917",, ,,,,,,,
FAC MGMT,3N6CM0KN2HK694301,869,76 507S,,2017,Nissan,NV200 S cargo van,"6,130","6,130","8,046","1,916","1,916",, ,,,,,,,
FAC MGMT,1GB0CVCG0CF184181,545,63 684S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"31,414","31,414","33,306","1,892","1,892", , ,,,,,,,
FAC MGMT,1GC5YLE76NF312270,1051,83 416S,,2022,Chevrolet,Silverado 2500 4WD,895,895,"2,781","1,885","1,885",, ,,,,,,,
FAC MGMT,NM0LS7E73H1335293,785,74 190S,,2017,Ford,Transit Connect XL Cargo Van,"10,020","10,020","11,903","1,882","1,882",, ,,,,,,,
FAC MGMT,1GB3CZCG5BF260156,521,62 148S,,2011,Chevrolet,Silverado 3500 P/U,"35,904","35,904","37,757","1,853","1,853", , ,,,,,,,
FAC MGMT,1FTBR1Y80MKA44122,1099,84 078S,,2021,Ford,Transit 250,"19,646","19,646","21,497","1,851","1,851",, ,,,,,,,
FAC MGMT,3C6TRVDG0HE516277,744,74 153S,,2017,Dodge,Ram Promaster Van,"39,634","39,634","41,480","1,846","1,846",, ,,,,,,,
FAC MGMT,1GCWGFBA5E1115435,580,65 846S,,2014,Chevrolet,Express Cargo Van,"32,229","32,229","34,065","1,836","1,836", , ,,,,,,,
FAC MGMT,1FMCU9BZ5NUA84507,987,83 409S,,2022,Ford,Escape Hybrid,"1,703","1,703","3,534","1,831","1,831",, ,,,,,,,
FAC MGMT,1FT7W2AA6PEE21976,1063,84 091S,,2023,Ford,F250,3,3,"1,796","1,793","1,793",, ,,,,,,,
FAC MGMT,1FTBF2A66JEC65323,818,75 618S,,2018,Ford,F250 4x2 w/lift gate,"9,383","9,383","11,149","1,765","1,765",, ,,,,,,,
FAC MGMT,1GCGTBF93C8114751,526,62 306S,,2012,Chevrolet,Colorado P/U,"19,555","19,555","21,302","1,747","1,747", , ,,,,,,,
FAC MGMT,1GTN1LEC4GZ904558 ,752,74 164S,,2016,GMC,Sierra 1500 P/U,"25,128","25,128","26,859","1,731","1,731",, ,,,,,,,
FAC MGMT,NM0LS6S20P1560482,1103,84 080S,,2023,Ford,Transit Connect,91,91,"1,793","1,702","1,702",, ,,,,,,,
FAC MGMT,NM0GE9E21N1543984,1067,83 445S,,2022,Ford,Transit Connect XL Wagon LWB,672,672,"2,367","1,696","1,695",, ,,,,,,,
FAC MGMT,NM0LS7S20N1540350,1011,83 419S,,2022,Ford,Transit Connect XL,"1,079","1,079","2,769","1,689","1,689",, ,,,,,,,
FAC MGMT,1FTMF1E58JKC65751,762,74 168S,,2018,Ford,F150 P/U,"14,249","14,249","15,923","1,674","1,674",, ,,,,,,,
FAC MGMT,1GD01ZCG0DF152854,565,64 332S,,2013,GMC,Sierra 2500 HD,"40,586","40,586","42,259","1,673","1,673", , ,,,,,,,
FAC MGMT,1FTEX1EBXMKE46460,971,80 728S,,2021,Ford,F150 Ext Cab,"5,484","5,484","7,149","1,665","1,665",, ,,,,,,,
FAC MGMT,1GC1CUEG9GF199758,681,71 970S,,2016,Chevrolet,Silverado 2500,"18,484","18,484","20,143","1,659","1,659", , ,,,,,,,
FAC MGMT,1FTYR1CM0GKA94831,727,73 128S,,2016,Ford,Transit 250 Van,"14,607","14,607","16,224","1,617","1,617", , ,,,,,,,
FAC MGMT,3C6TRVDG6HE512539,763,74 173S,,2017,Dodge,Ram 2500 High Roof Cargo Van,"26,623","26,623","28,236","1,613","1,613",, ,,,,,,,
FAC MGMT,1GD01ZCG6CF133515,532,62 656S,,2012,GMC,Sierra C2500 HD P/U Utility Body,"36,987","36,987","38,597","1,610","1,610", , ,,,,,,,
FAC MGMT,1GTW7AFP9M1288861,986,80 740S,,2021,GMC,Savana 2500,"2,758","2,758","4,351","1,593","1,593",, ,,,,,,,
FAC MGMT,1GTH5BEA3K1138727,892,76 537S,,2019,GMC,Canyon 2WD      Ext Cab,"10,778","10,778","12,370","1,593","1,593",, ,,,,,,,
FAC MGMT,1FTNF20588ED38336,442,56 185S,,2008,Ford,F250 P/U,"78,776","78,776","80,365","1,589","1,589", , ,,,,,,,
FAC MGMT,3N63M0ZN2HK719705,824,75 617S,,2017,Chevrolet,City Express          cargo van,"6,536","6,536","8,077","1,541","1,541",, ,,,,,,,
FAC MGMT,1GB0CVCG1DF184790,569,65 775S,,2013,Chevrolet,Silverado 2500HD Utility Body,"34,431","34,431","35,947","1,516","1,516", , ,,,,,,,
FAC MGMT,NM0LS7E79J1368983,819,75 614S,,2018,Ford,Transit Connect XL LWB Van,"7,114","7,114","8,612","1,498","1,498",, ,,,,,,,
FAC MGMT,3N6CM0KN9KK705365,890,76 535S,,2019,Nissan,NV200 S cargo van,"4,448","4,448","5,934","1,486","1,486",, ,,,,,,,
FAC MGMT,1FM5K8B87FGA41755,600,68 110S,,2015,Ford,Explorer,"15,352","15,352","16,835","1,483","1,483", , ,,,,,,,
FAC MGMT,3N6CM0KN1LK708729,945,80 707S,,2020,Nissan,NV200 Cargo Van,"3,570","3,570","5,050","1,480","1,480",, ,,,,,,,
FAC MGMT,1GCSGAFX9E1162337,585,67 451S,,2014,Chevrolet,Express 1500 Van,"36,937","36,937","38,410","1,473","1,473", , ,,,,,,,
FAC MGMT,1FMCU9BZ1NUA98694,1001,83 403S,,2022,Ford,Escape FHEV,"1,359","1,359","2,826","1,467","1,467",, ,,,,,,,
FAC MGMT,1FTEX1EP1NKF31166,1058,83 436S,,2022,Ford,F150 4x4 SuperCrew,247,762,"2,225","1,464","1,979",, ,,,,,,,
FAC MGMT,1GTP9BEK9NZ168054,1004,82 389S,,2022,GMC,Sierra1500 SLE,"2,592","2,592","4,055","1,463","1,463",, ,,,,,,,
FAC MGMT,1GB3CYCGXJZ250407,784,74 187S,,2018,Chevrolet,Silverado 3500 P/U,"7,194","7,194","8,654","1,460","1,460",, ,,,,,,,
FAC MGMT,NM0LS7E71F1187836,647,68 199S,,2015,Ford,Transit Connect XL Van,"13,423","13,423","14,826","1,402","1,402", , ,,,,,,,
FAC MGMT,1GCWGAFP6P1156659,1090,84 082S,,2023,Chevrolet,Express van,9,65,"1,460","1,394","1,451",, ,,,,,,,
FAC MGMT,1FTMF1CBXPKF76339,1117,85 461S,,2023,Ford,F150,92,92,"1,483","1,391","1,391",,,,,,,,,
FAC MGMT,1GCWGAFP4P1156675,1079,84 071S,,2023,Chevrolet,Express cargo van,225,156,"1,545","1,390","1,320",, ,,,,,,,
FAC MGMT,1FMCU0MZ0PUA48364,1064,84 068S,,2023,Ford,Escape Hybrid,2,2,"1,366","1,364","1,364",, ,,,,,,,
FAC MGMT,1FMCU9BZXNUA98743,1016,83 426S,,2022,Ford,Escape Hybrid,"1,674","1,674","3,027","1,353","1,353",, ,,,,,,,
FAC MGMT,1GD312CG9BF248144,503,60 059S,,2011,GMC,Sierra,"24,038","24,038","25,383","1,345","1,345", , ,,,,,,,
FAC MGMT,1FTLR1EE3BPA39219,487,58 800S,,2011,Ford,Ranger P/U,"21,700","21,700","23,016","1,316","1,316", , ,,,,,,,
FAC MGMT,NM0LS7S28P1570084,1068,85 453S,,2023,Ford,Transit Connect,6,6,"1,313","1,307","1,307",, ,,,,,,,
FAC MGMT,1FDUF5GN7MDA08606,946,80 723S,,2021,Ford,F550 Dump Truck 4x2,"2,643","2,643","3,906","1,263","1,263",, ,,,,,,,
FAC MGMT,1FTYE1ZM9GKA99237,679,71 969S,,2016,Ford,Transit,"8,101","8,101","9,340","1,239","1,239", , ,,,,,,,
FAC MGMT,NM0LS7S2XN1540288,990,83 410S,,2022,Ford,Transit,"1,141","1,141","2,366","1,225","1,225",, ,,,,,,,
FAC MGMT,1GD01ZCG2BF221976,500,60 060S,,2011,GMC,Sierra P/U,"52,534","52,534","53,752","1,218","1,218", , ,,,,,,,
FAC MGMT,1N6AD0EV6JN759069,863,75 647S,,2018,Nissan,Frontier V6        Crew Cab 4x4,"6,244","6,244","7,457","1,213","1,213",, ,,,,,,,
FAC MGMT,1FTYR1ZM7HKB10063,830,75 626S,,2018,Ford,Transit 250      cargo van,"20,265","20,265","21,474","1,209","1,209",, ,,,,,,,
FAC MGMT,1FTER4FHXPLE34791,1092,84 072S,,2023,Ford,Ranger 4x4,56,56,"1,261","1,205","1,205",, ,,,,,,,
FAC MGMT,NM0LS7S23P1559932,1070,84 074S,,2023,Ford,Transit Connect,4,4,"1,183","1,179","1,179",, ,,,,,,,
FAC MGMT,1GCGSBEA4M1245602,949,80 715S,,2021,Chevrolet,Colorado P/U,"3,382","3,382","4,558","1,177","1,177",, ,,,,,,,
FAC MGMT,1FTBF2B69JEB84315,786,74 189S,,2018,Ford,F250 4x4 P/U w/snow plow,"10,552","10,552","11,705","1,153","1,153",, ,,,,,,,
FAC MGMT,3N63M0YN0FK726313,671,70 495S,,2015,Chevrolet,City Express LS,"9,110","9,110","10,231","1,121","1,121", , ,,,,,,,
FAC MGMT,1GNSHBF46E1164546,584,67 452S,,2014,Chevrolet,Express 1500 Van,"21,592","21,592","22,670","1,078","1,078", , ,,,,,,,
FAC MGMT,NM0GE9E70G1276660,689,71 992S,,2016,Ford,Transit Connect XL Wagon LWB,"10,446","10,446","11,517","1,071","1,071", , ,,,,,,,
FAC MGMT,1GCHTBEN9H1181955,734,73 137S,,2017,Chevrolet,Colorado P/U 4x4,"21,467","21,467","22,537","1,070","1,070", , ,,,,,,,
FAC MGMT,3N6CM0KN7GK699251,889,76 534S,,2016,Nissan,NV200 S cargo van,"25,016","25,016","26,062","1,047","1,047",, ,,,,,,,
FAC MGMT,1FDBF2A61NEC27385,972,80 731S,,2022,Ford,F250,"3,748","3,748","4,764","1,016","1,016",, ,,,,,,,
FAC MGMT,1N4AZ1CP3KC308117,876,76 531S,,2019,Nissan,Leaf SV,"4,461","4,461","5,465","1,004","1,004",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK720353,759,74 166S,,2017,Chevrolet,City Express Van,"5,540","5,540","6,538",998,998,, ,,,,,,,
FAC MGMT,1N4AZ1CPXKC308633,877,76 532S,,2019,Nissan,Leaf S,"3,351","3,351","4,320",969,969,, ,,,,,,,
FAC MGMT,1GTW7AFP8N1255741,1026,83 437S,,2022,GMC,Savana 2500,833,833,"1,796",963,963,, ,,,,,,,
FAC MGMT,1GTW7AFF3H1117939,750,74 158S,,2017,GMC,Savana Van,"8,372","8,372","9,331",959,959,, ,,,,,,,
FAC MGMT,NM0LS6BN8CT089965,542,62 681S,,2012,Ford,Transit Connect XLT Van,"17,290","17,290","18,247",957,957, , ,,,,,,,
FAC MGMT,1FTYE1ZM0JKA02157,834,75 645S,,2018,Ford,Transit 150 low roof cargo van,"21,309","21,309","22,264",954,954,, ,,,,,,,
FAC MGMT,1FM5K8B8XJGB04887,787,74 193S,,2018,Ford,Explorer,"9,498","9,498","10,442",944,944,, ,,,,,,,
FAC MGMT,1FMCU0MZ0PUA30138,1056,84 069S,,2023,Ford,Escape Hybrid,16,16,958,942,942,, ,,,,,,,
FAC MGMT,1N6BD0CT2EN740014,599,68 111S,,2014,Nissan,Frontier S,"21,661","21,661","22,602",941,941, , ,,,,,,,
FAC MGMT,NM0LS7S28N1540337,991,83 424S,,2022,Ford,Transit Connect XL,891,891,"1,824",933,933,, ,,,,,,,
FAC MGMT,1N4AZ1CP7JC312931,789,75 634S,,2018,Nissan,Leaf S,"5,772","5,772","6,672",900,900,, ,,,,,,,
FAC MGMT,1FTBW1YK4PKB59945,1062,84 098S,,2023,Ford,Transit350 Electric,58,58,950,892,892,, ,,,,,,,
FAC MGMT,1GT02VEG3GZ160764,668,70 479S,,2016,GMC,Sierra 3500,"7,431","7,431","8,295",864,864, , ,,,,,,,
FAC MGMT,3N6CM0KN2KK712299,927,78 571S,,2019,Nissan,NV200,"2,821","2,821","3,648",827,827,, ,,,,,,,
FAC MGMT,NM0LS6S25P1565967,958,84 095S,,2023,Ford,Transit Connect,82,0,801,801,719,, ,,,,,,,
FAC MGMT,1FTMF1CB7PKE29766,1093,84 081S,,2023,Ford,F150,116,116,898,782,782,, ,,,,,,,
FAC MGMT,1HTKJPVM3PH735791,1040,84 099S,,2023,Chevrolet,Silverado 6500 4WD w/mulch blower FINN MBH6,3,3,781,778,778,, ,,,,,,,
FAC MGMT,1FT7W2AA1PEC90861,1052,84 065S,,2023,Ford,F250,762,127,893,766,131,, ,,,,,,,
FAC MGMT,1FTRF3BTXNEF61752,983,83 412S,,2022,Ford,F350,536,536,"1,294",759,759,, ,,,,,,,
FAC MGMT,1FD0X5HT1BEC96106,496,60 057S,,2011,Ford,F550 4WD SD SC,"25,017","25,017","25,775",758,758, , ,,,,,,,
FAC MGMT,1E9PB25S2NP363378,1005,5256L,,2022,e-Ride,EXV4,490,490,"1,241",751,751,, ,,,,,,,
FAC MGMT,1FDNF7AY8HDB04186,719,73 122S,,2017,Ford,F750 Dump Truck w/snowblade&salt spreader,"8,773","8,773","9,505",732,732, , ,,,,,,,
FAC MGMT,NM0LS7E2XK1384468,910,78 558S,,2018,Ford,Transit Connect,"2,727","2,727","3,446",720,720,, ,,,,,,,
FAC MGMT,1FVHG3FE3KHKS7792,790,76 516S,,2019,Freightliner,114SD Vactor Pumper Truck,"4,948","4,948","5,667",719,719,, ,,,,,,,
FAC MGMT,1FTBF2A62KEC12569,816,75 628S,,2019,Ford,F250 4x2 w/lift gate,"8,840","8,840","9,559",718,718,, ,,,,,,,
FAC MGMT,NM0LS7S21P1570086,1073,85 456S,,2023,Ford,Transit Connect,2,2,706,704,704,, ,,,,,,,
FAC MGMT,1E9EA15S4JP363168,777,5823L      (low speed),,2018,E-Ride,Patriot Electric LSV,"7,173","7,173","7,867",694,694,, ,,,,,,,
FAC MGMT,1N4BZ1CP7KC320842,969,80 710S,,2019,Nissan,Leaf SV Plus,"11,437","11,437","12,124",687,687,, ,,,,,,,
FAC MGMT,1FMCU0MZ9PUA48475,1057,84 067S,,2023,Ford,Escape Hybrid,53,53,730,677,677,, ,,,,,,,
FAC MGMT,1N4BZ1CP4KC313072,966,80 711S,,2019,Nissan,Leaf SV Plus,"4,730","4,730","5,400",670,670,, ,,,,,,,
FAC MGMT,1GCHC23U97F198170,426,54 649S,,2007,Chevrolet,Silverado P/U,"52,450","52,450","53,096",646,646, , ,,,,,,,
FAC MGMT,1E9PB25S7NP363358,1021,5257L,,2022,e-Ride,EXV4 Patriot,317,317,937,620,620,, ,,,,,,,
FAC MGMT,1GCWGAFP7P1218926,1106,84 086S,,2023,Chevrolet,Express cargo van,10,10,613,603,603,, ,,,,,,,
FAC MGMT,1C4NJDBB6GD581581,677,71 098S,,2016,Jeep,Compass Sport,"19,532","19,532","20,105",573,573, , ,,,,,,,
FAC MGMT,NM0LS7BN0DT170398,588,76 541S,,2013,Ford,Transit Connect XLT,"26,959","26,959","27,530",571,571, , ,,,,,,,
FAC MGMT,NM0LS7S27P1570089,1076,85 459S,,2023,Ford,Transit Connect,2,2,529,527,527,, ,,,,,,,
FAC MGMT,1FDUF4HN1PDA13037,959,84 097S,,2023,Ford,F450,3,3,511,508,508,, ,,,,,,,
FAC MGMT,NM0LS7S22P1570081,1074,85 457S,,2023,Ford,Transit Connect,2,2,428,426,426,, ,,,,,,,
FAC MGMT,1GDP7F13X7F419319,433,50 281S,,2007,GMC,"T7500 Cab, Chassis & Mulch Blower","16,420","16,420","16,810",390,390, , ,,,,,,,
FAC MGMT,NM0LS7S23P1570090,1075,85 458S,,2023,Ford,Transit Connect,2,2,379,377,377,, ,,,,,,,
FAC MGMT,NM0LS7S24P1570082,1077,85 460S,,2023,Ford,Transit Connect,6,6,374,368,368,, ,,,,,,,
FAC MGMT,1E9EB25S7JP363197,836,5828L,,2019,E-Ride Industries,EXV4 Patriot,"2,499","2,499","2,859",360,360,, ,,,,,,,
FAC MGMT,1FDWE3FS6HDC32205,831,75 627S,,2017,Ford,E350 15' Box Van,"26,513","26,513","26,854",341,341,, ,,,,,,,
FAC MGMT,1HSLRTVN8EHA57283,123,28 632S,,1984,International,S1900 Truck Tractor,865,"214,496","214,833",337,"213,968",Yes, ,,,,,,,
FAC MGMT,NM0KS9CN6BT059213,518,60 071S,,2011,Ford,Transit Connect Wagon,"15,507","15,507","15,702",195,195, , ,,,,,,,
FAC MGMT,1FTMF1CBXPKF76079,1116,85 451S,,2023,Ford,F150,95,95,239,144,144,,,,,,,,,
FAC MGMT,1FVHCYCY5EHFR8547,593,67 490S,,2014,Freightliner,Crane Truck,"7,354","7,354","7,459",105,105, , ,,,,,,,
FAC MGMT,NM0LS7S26P1570942,1122,85 467S,,2023,Ford,Transit Connect,2,2,93,91,91,,,,,,,,,
FAC MGMT,NM0LS6BN6CT082206,536,62 673S,,2012,Ford,Transit Connect XLT Van,"33,597","33,597","33,687",90,90, , ,,,,,,,
FAC MGMT,NM0LS7S26P1570949,1124,85 469S,,2023,Ford,Transit Connect,5,5,93,88,88,,,,,,,,,
FAC MGMT,NM0LS7S26P1570083,1072,85 455S,,2023,Ford,Transit Connect,2,2,90,88,88,, ,,,,,,,
FAC MGMT,NM0LS7S26P1570939,1123,85 468S,,2023,Ford,Transit Connect,4,4,80,76,76,,,,,,,,,
FAC MGMT,NM0LS7S25P1570088,1069,85 454S,,2023,Ford,Transit Connect,6,6,78,72,72,, ,,,,,,,
FAC MGMT,1GCWGAFP4P1219144,1107,84 087S,,2023,Chevrolet,Express cargo van,4,4,27,23,23,, ,,,,,,,
FAC MGMT,1GTW7AFP7R1102824,1096,86-246S,,2024,GMC,Savana 2500,2,2,8,6,6,, ,,,,,,,
FAC MGMT,2G1WA5E31F1136845,650,68 867S,,2015,Chevrolet,Impala,"9,490","9,490","9,495",5,5, , ,DISPOSED,,,,,,
,,,,,,,Total,,,,182,"1,079,568",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
